"Icon","Title","Description","Description (Lv 1)","Description (Lv 2)","Description (Lv 3)","Description (Lv 4)","Description (Lv 5)","Description (Lv 6)","Description (Lv 7)","Other Info","Obtained From","Max Level","Ingredients"
"","Maximum Might","","Affinity +10% while active","Affinity +20% while active","Affinity +30% while active","","","","","","Azuz Headdress α Head Azuz α Armor Sets Commission Helm α Head Commission α Armor Sets G. Fulgur Coil α Waist G. Fulgur Mail α Chest G. Fulgur Mail β Chest G. Fulgur Vambraces α Arms G. Fulgur Vambraces β Arms Guardian Fulgur α Armor Sets Guardian Fulgur β Armor Sets Mighty Charm I Level 1 Mighty Charm II Level 2 Mighty Jewel [2] Armor Decorations Rey Dau α Armor Sets Rey Dau β Armor Sets Rey Sandgreaves α Legs Rey Sandmail α Chest Rey Sandmail β Chest Xu Wu Armor Sets Xu Wu Coil Waist Xu Wu Helm Head Xu Wu Vambraces Arms","3",""
"","Medic Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","Increases the amount of health recovered when healing.","","","","","","","","","","Eastern Honey Ingredients"
"","Mind's Eye","","50% chance of your attacks not being deflected, +10% damage to…","100% chance of your attacks not being deflected, +15% damage…","100% chance of your attacks not being deflected, +30% damage…","","","","","","Mind's Eye Jewel II [2] Weapon Decorations Mind's Eye Jewel [1] Weapon Decorations Mind's Eye Jwl III [3] Weapon Decorations","3",""
"","Moxie Meal (Hi)","Food Skills in Monster Hunter Wilds can apply a wide variety…","Prevents fainting one time and heals you when damage taken exceeds…","","","","","","","","","","Specialty Sild Garlic Ingredients"
"","Moxie Meal (Lo)","Food Skills in Monster Hunter Wilds can apply a wide variety…","Prevents fainting one time when damage taken exceeds your remaining…","","","","","","","","","","Sild Garlic Ingredients"
"","Mushroomancer","","Lets you digest blue mushrooms and toadstools.","Additionally lets you digest nitroshrooms and parashrooms.","Additionally lets you digest mandragoras, devil’s blight, and…","","","","","","Conga Armor Sets Conga Coil α Waist Conga Coil β Waist Conga Greaves Legs Conga Greaves α Legs Conga Helm Head Conga Mail Chest Conga Vambraces α Arms Conga Vambraces β Arms Conga α Armor Sets Conga β Armor Sets Dober Greaves α Legs Dober α Armor Sets Fungiform Jewel [2] Armor Decorations Melahoa Roots α Legs Melahoa α Armor Sets Mushroom Charm I Level 1 Mushroom Charm II Level 2 Mushroom Charm III Level 3","3",""
"","Neopteron Alert","","Increases the amount of honey you gain from gathering points.…","","","","","","","","Barina Coil Waist Barina Coil α Waist Barina Greaves Legs Barina Greaves α Legs Barina Headgear Head Barina Headgear α Head Barina Mail Chest Barina Mail α Chest Barina Vambraces Arms Barina Vambraces α Arms Bulaqchi Armor Sets Bulaqchi Specs Head Bulaqchi Specs α Head Bulaqchi α Armor Sets Comaqchi Armor Sets Comaqchi Accessory Head Comaqchi Accessory α Head Comaqchi α Armor Sets Lala Barina Armor Sets Lala Barina α Armor Sets Nerscylla Armor Sets Nerscylla Coil Waist Nerscylla Coil α Waist Nerscylla Greaves Legs Nerscylla Greaves α Legs Nerscylla Helm Head Nerscylla Helm α Head Nerscylla Mail Chest Nerscylla Mail α Chest Nerscylla Vambraces Arms Nerscylla Vambraces α Arms Nerscylla α Armor Sets Vespoid Armor Sets Vespoid Coil Waist Vespoid Coil α Waist Vespoid Greaves Legs Vespoid Greaves α Legs Vespoid Helm Head Vespoid Helm α Head Vespoid Mail Chest Vespoid Mail α Chest Vespoid Vambraces Arms Vespoid Vambraces α Arms Vespoid α Armor Sets","1",""
"","Neopteron Camouflage","","Increases movement speed while crouching, and makes it easier…","","","","","","","","Barina Coil β Waist Barina Greaves β Legs Barina Headgear β Head Barina Mail β Chest Barina Vambraces β Arms Bulaqchi Specs β Head Bulaqchi β Armor Sets Comaqchi Accessory β Head Comaqchi β Armor Sets Lala Barina β Armor Sets Nerscylla Coil β Waist Nerscylla Greaves β Legs Nerscylla Helm β Head Nerscylla Mail β Chest Nerscylla Vambraces β Arms Nerscylla β Armor Sets Vespoid Coil β Waist Vespoid Greaves β Legs Vespoid Helm β Head Vespoid Mail β Chest Vespoid Vambraces β Arms Vespoid β Armor Sets","1",""
"","Normal Shots","","Slightly increases the power of specified ammo and arrows.","","","","","","","","Forceshot Jewel [3] Weapon Decorations","1",""
"","Nu Udra's Mutiny","","Deals moderate additional damage while the Resentment skill is…","Deals additional damage while the Resentment skill is active.…","","","","","","","Nu Udra Armor Sets Nu Udra α Armor Sets Nu Udra β Armor Sets Udra Mirebraces Arms Udra Mirebraces α Arms Udra Mirebraces β Arms Udra Mirecoil Waist Udra Mirecoil α Waist Udra Mirecoil β Waist Udra Miregreaves Legs Udra Miregreaves α Legs Udra Miregreaves β Legs Udra Mirehelm Head Udra Mirehelm α Head Udra Mirehelm β Head Udra Miremail Chest Udra Miremail α Chest Udra Miremail β Chest","2",""
"","Offensive Guard","","Attack +5% while active.","Attack +10% while active.","Attack +15% while active.","","","","","","A Abaddonian Osminog Lance Ajara Gunpike I Gunlance Ajara Gunpike II Gunlance Ajara Saber I Sword and Shield Ajara Saber II Sword and Shield Ajara-Kalika Gunlance Ajara-Subinda Sword and Shield Arachnoscale I Charge Blade Arachnoscale II Charge Blade Arachnoscale III Charge Blade Arachnoscythe Charge Blade B Balahara Blade I Sword and Shield Balahara Blade II Sword and Shield Balahara Blade III Sword and Shield Balahara Blade IV Sword and Shield Balahara Exploder I Gunlance Balahara Exploder II Gunlance Balahara Exploder III Gunlance Balahara Exploder IV Gunlance Balahara Lance I Lance Balahara Lance II Lance Balahara Lance III Lance Balahara Lance IV Lance Bequeathed Enmity Charge Blade Bequeathed Regret Lance Buster Blaster Heavy Bowgun C Chthonian Firewheel I Lance Chthonian Firewheel II Lance Chthonian Flame I Charge Blade Chthonian Flame II Charge Blade D Debilitating Torpor Gunlance Dosha Gloomborer I Lance Dosha Gloomborer II Lance F Firetrail Fornax Sword and Shield G Gloomborer Urshanith Lance Guardian Jewel II [2] Weapon Decorations Guardian Jewel III [3] Weapon Decorations Guardian Jewel [1] Weapon Decorations Guardian/Blaze Jwl [3] Weapon Decorations Guardian/Bolt Jwl [3] Weapon Decorations Guardian/Dragon Jwl [3] Weapon Decorations Guardian/Frost Jwl [3] Weapon Decorations Guardian/Handicraft Jwl [3] Weapon Decorations Guardian/Ironwall Jwl [3] Weapon Decorations Guardian/Stream Jwl [3] Weapon Decorations I Immane Blade I Great Sword Immane Blade II Great Sword Immane Blade III Great Sword Immolator Blade Great Sword Indra Clairlance Lance K Kuara Clairsword Sword and Shield N Ner Bustergun I Heavy Bowgun Ner Bustergun II Heavy Bowgun Ner Bustergun III Heavy Bowgun Nu Osminog I Lance Nu Osminog II Lance P Paretic Gunlance I Gunlance Paretic Gunlance II Gunlance Paretic Gunlance III Gunlance Paretic Gunlance IV Gunlance Q Quematrice Cuchillo I Sword and Shield Quematrice Cuchillo II Sword and Shield Quematrice Cuchillo III Sword and Shield Quematrice Cuchillo IV Sword and Shield R Rey Indra I Lance Rey Indra II Lance Rey Indra III Lance Rey Kuara I Sword and Shield Rey Kuara II Sword and Shield Rey Kuara III Sword and Shield S Sandsea Katduva Sword and Shield Sandsea Prallaya Lance Sandsea Visponan Gunlance Snow Lion Jambiya Sword and Shield Snow-white Jambiya I Sword and Shield","3",""
"","Opening Shot","","Moderately increases bowgun reload speed and attack power of…","Increases bowgun reload speed and attack power of ammo when certain…","Greatly increases bowgun reload speed and attack power of ammo…","","","","","","Abaddonian Chobotnice Light Bowgun Abaddonian Muneo Heavy Bowgun Assault Conga II Light Bowgun Chata Sheller I Heavy Bowgun Chata Sheller II Heavy Bowgun Chata Sheller III Heavy Bowgun Chata Sheller IV Heavy Bowgun Combat Conga Light Bowgun Dosha Faithbreaker I Light Bowgun Dosha Faithbreaker II Light Bowgun Dosha Faithbreaker III Light Bowgun Expiating Caius Light Bowgun Faithbreaker Leibolkule Light Bowgun G. Expiating Caius Light Bowgun G. Veldian Impetum I Light Bowgun G. Veldian Impetum II Light Bowgun Hunter's Rifle I Light Bowgun Hunter's Rifle II Light Bowgun Hunter's Rifle III Light Bowgun Hunter's Rifle IV Light Bowgun Nu Chobotnice I Light Bowgun Nu Chobotnice II Light Bowgun Nu Muneo I Heavy Bowgun Nu Muneo II Heavy Bowgun Opener Jewel II [2] Weapon Decorations Opener Jewel III [3] Weapon Decorations Opener Jewel [1] Weapon Decorations Opener/Blaze Jewel [3] Weapon Decorations Opener/Bolt Jewel [3] Weapon Decorations Opener/Dragon Jewel [3] Weapon Decorations Opener/Frost Jewel [3] Weapon Decorations Opener/Ironwall Jwl [3] Weapon Decorations Opener/Precise Jewel [3] Weapon Decorations Opener/Stream Jwl [3] Weapon Decorations Power Rifle Light Bowgun Power Stinger II Heavy Bowgun Rey Szelatya I Light Bowgun Rey Szelatya II Light Bowgun Rey Szelatya III Light Bowgun Shrouded Muktana Heavy Bowgun Szelatya Clairgun Light Bowgun Tail Catapult Light Bowgun Tail String I Light Bowgun Veldian Impetum I Light Bowgun Wild Stinger Heavy Bowgun","3",""
"","Outdoorsman","","Improves fishing, grilling, and transporting abilities.","","","","","","","","Gajau Boots α Legs Gajau α Armor Sets Ranger Jewel [1] Armor Decorations","1",""
,,,,,,,,,,,,,
"","Palico Rally","","Increases Palico attack power and defense by 5%.","Increases Palico attack power and defense by 10%.","Increases Palico attack power and defense by 15%.","Increases Palico attack power and defense by 20%.","Increases Palico attack power and defense by 25%.","","","","Blango Vambraces α Arms Blango α Armor Sets Kunafa Chaps α Legs Kunafa Cloak α Chest Kunafa Headgear α Head Kunafa Sash α Waist Kunafa α Armor Sets","5",""
"","Para Functionality","","Lets you use paralysis coatings.","","","","","","","","Paracoat Jewel [3] Weapon Decorations","1",""
"","Paralysis Attack","","Paralysis buildup +5% Bonus: +10","Paralysis buildup +10% Bonus: +20","Paralysis buildup +20% Bonus: +50","","","","","","Paralyzer Jewel II [2] Weapon Decorations Paralyzer Jewel [1] Weapon Decorations Paralyzer Jwl III [3] Weapon Decorations","3",""
"","Paralysis Resistance","","Reduces the duration of paralysis by 30%.","Reduces the duration of paralysis by 60%.","Prevents paralysis.","","","","","","Antipara Jewel [1] Armor Decorations Barina Coil α Waist Barina Coil β Waist Barina Headgear Head Barina Headgear α Head Barina Mail Chest King Beetle Elytra α Waist King Beetle Thorax α Chest King Beetle α Armor Sets Lala Barina Armor Sets Lala Barina α Armor Sets Lala Barina β Armor Sets Melahoa Branch α Arms Melahoa α Armor Sets Paralysis Charm I Level 1 Paralysis Charm II Level 2 Paralysis Charm III Level 3 Vespoid Armor Sets Vespoid Coil Waist Vespoid Coil α Waist Vespoid Coil β Waist Vespoid Greaves α Legs Vespoid Vambraces Arms Vespoid Vambraces α Arms Vespoid Vambraces β Arms Vespoid α Armor Sets Vespoid β Armor Sets","3",""
"","Partbreaker","","Increases part damage and damage dealt when conditions are met…","Increases part damage and damage dealt when conditions are met…","Increases part damage and damage dealt when conditions are met…","","","","","","Ajarakan Armor Sets Ajarakan Coil α Waist Ajarakan Coil β Waist Ajarakan Greaves Legs Ajarakan Greaves α Legs Ajarakan Greaves β Legs Ajarakan Helm Head Ajarakan Mail Chest Ajarakan Vambraces α Arms Ajarakan Vambraces β Arms Ajarakan α Armor Sets Ajarakan β Armor Sets Breaker Charm I Level 1 Breaker Charm II Level 2 Destroyer Jewel [2] Armor Decorations G. Arkveld Helm α Head G. Arkveld Helm β Head Guardian Arkveld α Armor Sets Guardian Arkveld β Armor Sets High Metal Braces α Arms High Metal Helm α Head High Metal Mail α Chest High Metal α Armor Sets Kranodath Mail α Chest Kranodath α Armor Sets","3",""
"","Peak Performance","","Attack +3 while active.","Attack +6 while active.","Attack +10 while active.","Attack +15 while active.","Attack +20 while active.","","","","Duna Greaves Legs Duna Helm Head Duna Mail Chest Duna Wildbraces α Arms Duna Wildbraces β Arms Duna Wildcoil α Waist Duna Wildcoil β Waist Duna Wildgreaves α Legs Duna Wildgreaves β Legs Flawless Jewel [2] Armor Decorations Gravios Coil α Waist Gravios Coil β Waist Gravios Helm α Head Gravios Helm β Head Gravios Mail α Chest Gravios Mail β Chest Gravios Vambraces α Arms Gravios Vambraces β Arms Gravios α Armor Sets Gravios β Armor Sets Guild Ace Boots α Legs Guild Ace Coil α Waist Guild Ace Earrings α Head Guild Ace Mail α Chest Guild Ace Vambraces α Arms Guild Ace α Armor Sets Hirabami Greaves α Legs Hirabami Greaves β Legs Hirabami Vambraces α Arms Hirabami α Armor Sets Hirabami β Armor Sets Unscathed Charm I Level 1 Unscathed Charm II Level 2 Uth Duna Armor Sets Uth Duna α Armor Sets Uth Duna β Armor Sets","5",""
"","Piercing Shots","","Slightly increases the power of specified ammo and arrows.","","","","","","","","Pierce Jewel [3] Weapon Decorations","1",""
"","Piping-Hot Meal","Food Skills in Monster Hunter Wilds can apply a wide variety…","","","","","","","","","","",""
"","Poison Attack","","Poison buildup +5% Bonus: +10","Poison buildup +10% Bonus: +20","Poison buildup +20% Bonus: +50","","","","","","Venom Jewel II [2] Weapon Decorations Venom Jewel III [3] Weapon Decorations Venom Jewel [1] Weapon Decorations","3",""
"","Poison Duration Up","","Extends the duration of your poison’s effect by 20%.","","","","","","","","Dear Lutemia Charge Blade Dear Lutemis I Charge Blade Dear Lutemis II Charge Blade Dragonmaiden Axe I Switch Axe Dragonmaiden Axe II Switch Axe Gríðr's Landmaker Switch Axe Ortlinde Gunlance Poison Jewel [2] Weapon Decorations Poison/Attack Jewel [3] Weapon Decorations Poison/Draw Jewel [3] Weapon Decorations Poison/Expert Jwl [3] Weapon Decorations Poison/Handicraft Jwl [3] Weapon Decorations Poison/Ironwall Jwl [3] Weapon Decorations Poison/KO Jewel [3] Weapon Decorations Poison/Precise Jwl [3] Weapon Decorations Princess Panoply I Gunlance Princess Panoply II Gunlance Princess Rapier I Sword and Shield Princess Rapier II Sword and Shield Princess Regalia I Insect Glaive Princess Regalia II Insect Glaive Queen Blaster I Bow Queen Blaster II Bow Queen Chordmaker Hunting Horn Queen Rapier Sword and Shield Queen Regalia Insect Glaive Queen's Farflier Heavy Bowgun Queen's Longfire I Heavy Bowgun Queen's Longfire II Heavy Bowgun Queen's Melody Bow Sieglinde Great Sword Valkyrie Blade I Great Sword Valkyrie Blade II Great Sword Valkyrie Chordmaker I Hunting Horn Valkyrie Chordmaker II Hunting Horn Valkyrie Fire I Light Bowgun Valkyrie Fire II Light Bowgun Valkyrie Flame Light Bowgun Wyvern Blade ""Holly"" Long Sword Wyvern Blade ""Verde"" I Long Sword Wyvern Blade ""Verde"" II Long Sword","1",""
"","Poison Functionality","","Lets you use poison coatings.","","","","","","","","Poisoncoat Jewel [2] Weapon Decorations","1",""
"","Poison Resistance","","Reduces the number of times you take poison damage.","Greatly reduces the number of times you take poison damage. …","Prevents poison.","","","","","","Antidote Jewel [1] Armor Decorations Gypceros Mail α Chest Gypceros Vambraces α Arms Gypceros α Armor Sets Hope Mail α Chest Hope α Armor Sets King Beetle Brachia α Arms King Beetle Crura α Legs King Beetle α Armor Sets Melahoa Hat α Head Melahoa α Armor Sets Nerscylla Armor Sets Nerscylla Helm α Head Nerscylla Mail Chest Nerscylla Vambraces α Arms Nerscylla α Armor Sets Poison Charm I Level 1 Poison Charm II Level 2 Poison Charm III Level 3 Rompopolo Armor Sets Rompopolo Coil Waist Rompopolo Mail α Chest Rompopolo Mail β Chest Rompopolo Vambraces Arms Rompopolo Vambraces α Arms Rompopolo α Armor Sets Rompopolo β Armor Sets","3",""
,,,,,,,,,,,,,
"","Power Prolonger","","Moderately boosts the duration weapons are powered up.","Boosts the duration weapons are powered up.","Greatly boosts the duration weapons are powered up.","","","","","","A Ajara Trident I Insect Glaive Ajara Trident II Insect Glaive Ajara Twin Edges I Dual Blades Ajara Twin Edges II Dual Blades Ajara-Bhadra Insect Glaive Ajara-Panthaka Dual Blades B Balahara Glaive I Insect Glaive Balahara Glaive II Insect Glaive Balahara Glaive III Insect Glaive Balahara Glaive IV Insect Glaive Beak Axe I Switch Axe Beak Axe II Switch Axe Bequeathed Oblivion Dual Blades Blango Sai I Dual Blades Blango Trishula Dual Blades Blood Cry I Long Sword Blood Cry II Long Sword Blood Cry III Long Sword Blood Scream Long Sword Brutus's Abolishment Switch Axe C Chata Glaive I Insect Glaive Chata Glaive II Insect Glaive Chata Glaive III Insect Glaive Chata Glaive IV Insect Glaive Chthonian Kusarigamas I Dual Blades Chthonian Kusarigamas II Dual Blades D Dosha Fastflayers I Dual Blades Dosha Fastflayers II Dual Blades Dosha Fastflayers III Dual Blades Dosha Fleshhacker I Switch Axe Dosha Fleshhacker II Switch Axe Dosha Fleshhacker III Switch Axe Dosha Gravecleaver I Long Sword Dosha Gravecleaver II Long Sword Dual Battleaxes I Dual Blades Dual Battleaxes II Dual Blades Dual Cleavers Dual Blades Dual Hatchets I Dual Blades Dual Hatchets II Dual Blades Dual Hatchets III Dual Blades Dual Kut-Ku Dual Blades E Enduring Tor Insect Glaive Enhancer Jewel II [2] Weapon Decorations Enhancer Jewel III [3] Weapon Decorations Enhancer Jewel [1] Weapon Decorations Enhancer/Blaze Jewel [3] Weapon Decorations Enhancer/Bolt Jewel [3] Weapon Decorations Enhancer/Dragon Jwl [3] Weapon Decorations Enhancer/Frost Jwl [3] Weapon Decorations Enhancer/Handicraft Jwl [3] Weapon Decorations Enhancer/Stream Jwl [3] Weapon Decorations F Fastflayers Jambastra Dual Blades Final Battleaxes Dual Blades Fleshhacker Yaogahaac Switch Axe G G. Enduring Tor Insect Glaive G. Veldian Trudis I Insect Glaive G. Veldian Trudis II Insect Glaive Gravecleaver Urkemush Long Sword J Jin Dhachhad Insect Glaive K Khlunda-of-the-Waves Long Sword Kut-Ku Pair I Dual Blades Kut-Ku Pair II Dual Blades Kut-Ku Pike I Insect Glaive Kut-Ku Pike II Insect Glaive N Ngarpatu-of-the-Waves Dual Blades Nihil Switch Axe I Switch Axe Nihil Switch Axe II Switch Axe O Olacha-of-the-Waves Switch Axe P Precipice Geumgel Insect Glaive R Rompo Hacker I Long Sword Rompo Hacker II Long Sword Rompo Hacker III Long Sword Rompo Mytoxin Long Sword S Sandsea Uchaltiya Insect Glaive Sawbill Axe Switch Axe Shrouded Laphoka Insect Glaive T Toucan Pike Insect Glaive U Uth Khlunda I Long Sword Uth Khlunda II Long Sword Uth Khlunda III Long Sword Uth Ngarpatu I Dual Blades Uth Ngarpatu II Dual Blades Uth Ngarpatu III Dual Blades Uth Olacha I Switch Axe Uth Olacha II Switch Axe Uth Olacha III Switch Axe Uth Valeroje I Charge Blade Uth Valeroje II Charge Blade Uth Valeroje III Charge Blade V Valeroje-of-the-Waves Charge Blade Veldian Trudis I Insect Glaive","3",""
"","Protective Polish","","Grants no sharpness loss for 30 seconds after activation.","Grants no sharpness loss for 60 seconds after activation.","Grants no sharpness loss for 90 seconds after activation.","","","","","","Abaddonian Krake Great Sword Abaddonian Pulpo Hammer Giant Jawblade Great Sword Glass Royale Hunting Horn Jawblade I Great Sword Nu Krake I Great Sword Nu Krake II Great Sword Nu Pulpo I Hammer Nu Pulpo II Hammer Sharp Jewel II [2] Weapon Decorations Sharp Jewel III [3] Weapon Decorations Sharp Jewel [1] Weapon Decorations Sonic Horn I Hunting Horn Sonic Horn II Hunting Horn Sonic Horn III Hunting Horn Sonic Horn IV Hunting Horn","3",""
"","Punishing Draw","","Draw attacks deal a small amount of stun damage and gain attack…","Draw attacks deal a medium amount of stun damage and gain attack…","Draw attacks deal a large amount of stun damage and gain attack…","","","","","","B Big Slugger Gunlance D Dosha Fatecleaver I Long Sword Dosha Fatecleaver II Long Sword Dosha Fatecleaver III Long Sword Dosha Fellslayer I Great Sword Dosha Fellslayer II Great Sword Dosha Fellslayer III Great Sword Dosha Fierceborer I Lance Dosha Fierceborer II Lance Dosha Fierceborer III Lance F Fatecleaver Kimkemush Long Sword Fellslayer Dangeom Great Sword Fierceborer Dubhanith Lance Firetrail Blaisdell Great Sword Firetrail Ferrocere Long Sword Freezer Speartuna Great Sword Frozen Speartuna I Great Sword Frozen Speartuna II Great Sword Funky Maracas Dual Blades G Gambit Jewel II [2] Weapon Decorations Gambit Jewel III [3] Weapon Decorations Gambit Jewel [1] Weapon Decorations Gambit/Handicraft Jwl [3] Weapon Decorations Gambit/Ironwall Jwl [3] Weapon Decorations Gambit/KO Jewel [3] Weapon Decorations Golba Vandal I Switch Axe Golba Vandal II Switch Axe Graviafaren I Insect Glaive Gravordius Insect Glaive Gundava Vandal Switch Axe H Hard Hitter I Gunlance Hard Hitter II Gunlance P Pink Maracas I Dual Blades Pink Maracas II Dual Blades Poison Blade I Charge Blade Poison Blade II Charge Blade Poison King Great Sword Q Quematrice Espada I Great Sword Quematrice Espada II Great Sword Quematrice Espada III Great Sword Quematrice Espada IV Great Sword Quematrice Lima I Long Sword Quematrice Lima II Long Sword Quematrice Lima III Long Sword Quematrice Lima IV Long Sword R Rey Tonitrus I Long Sword Rey Tonitrus II Long Sword Rey Tonitrus III Long Sword S Slaughter I Great Sword Slaughter II Great Sword T Tonitrus Clairblade Long Sword V Venom's Kiss Charge Blade Venom's Pain I Sword and Shield Venom's Pain II Sword and Shield Viperine Saber Sword and Shield","3",""
"","Quick Sheathe","","Slightly increases sheathing speed.","Increases sheathing speed.","Greatly increases sheathing speed.","","","","","","Alloy Armor Sets Alloy Coil α Waist Alloy Greaves Legs Alloy Greaves α Legs Alloy Helm Head Alloy Helm α Head Alloy α Armor Sets Arkveld α Armor Sets Arkveld β Armor Sets Arkvulcan Greaves α Legs Arkvulcan Greaves β Legs Balahara Armor Sets Balahara Mail Chest Commission Vambraces α Arms Commission α Armor Sets Duna Wildbraces α Arms Duna Wildbraces β Arms Sheath Jewel [1] Armor Decorations Sheathe Charm I Level 1 Sheathe Charm II Level 2 Sheathe Charm III Level 3 Uth Duna α Armor Sets Uth Duna β Armor Sets","3",""
"","Rapid Fire Up","","Rapid fire damage +5%","","","","","","","","Salvo Jewel [3] Weapon Decorations","1",""
"","Rapid Morph","","Speed +10%","Speed +20% Morph attack damage +10%","Speed +30% Morph attack damage +20%","","","","","","Abaddonian Pweza Charge Blade Abaddonian Zhangyu Switch Axe Chrome Accelerator Switch Axe Hyperguard I Charge Blade Hyperguard II Charge Blade Hyperguard III Charge Blade Iron Accelerator I Switch Axe Iron Accelerator II Switch Axe Iron Accelerator III Switch Axe Nu Pweza I Charge Blade Nu Pweza II Charge Blade Nu Zhangyu I Switch Axe Nu Zhangyu II Switch Axe Quickswitch Jewel II [2] Weapon Decorations Quickswitch Jewel III [3] Weapon Decorations Quickswitch Jewel [1] Weapon Decorations Quickswitch/Blaze Jwl [3] Weapon Decorations Quickswitch/Bolt Jwl [3] Weapon Decorations Quickswitch/Dragon Jwl [3] Weapon Decorations Quickswitch/Frost Jwl [3] Weapon Decorations Quickswitch/Handicraft Jwl [3] Weapon Decorations Quickswitch/Ironwall Jwl [3] Weapon Decorations Quickswitch/KO Jwl [3] Weapon Decorations Quickswitch/Stream Jwl [3] Weapon Decorations Regas Hyper Charge Blade","3",""
"","Rathalos's Flare","","Chance to deal additional fire damage after landing an attack.…","Increases additional fire damage after landing an attack.","","","","","","","G. Rathalos Coil Waist G. Rathalos Coil α Waist G. Rathalos Coil β Waist G. Rathalos Greaves Legs G. Rathalos Greaves α Legs G. Rathalos Greaves β Legs G. Rathalos Helm Head G. Rathalos Helm α Head G. Rathalos Helm β Head G. Rathalos Mail Chest G. Rathalos Mail α Chest G. Rathalos Mail β Chest G. Rathalos Vambraces Arms G. Rathalos Vambraces α Arms G. Rathalos Vambraces β Arms Guardian Rathalos Armor Sets Guardian Rathalos α Armor Sets Guardian Rathalos β Armor Sets Rathalos Coil α Waist Rathalos Coil β Waist Rathalos Greaves α Legs Rathalos Greaves β Legs Rathalos Helm α Head Rathalos Helm β Head Rathalos Mail α Chest Rathalos Mail β Chest Rathalos Vambraces α Arms Rathalos Vambraces β Arms Rathalos α Armor Sets Rathalos β Armor Sets","2",""
"","Razor Sharp","","Grants a 10% chance of no sharpness loss.","Grants a 25% chance of no sharpness loss.","Grants a 50% chance of no sharpness loss.","","","","","","Razor Sharp Jewel II [2] Weapon Decorations Razor Sharp Jewel [1] Weapon Decorations Razor Sharp/KO Jwl [3] Weapon Decorations Rzr Sharp Jwl III [3] Weapon Decorations Rzr Sharp/Blaze Jwl [3] Weapon Decorations Rzr Sharp/Bolt Jwl [3] Weapon Decorations Rzr Sharp/Dragon Jwl [3] Weapon Decorations Rzr Sharp/Frost Jwl [3] Weapon Decorations Rzr Sharp/Handicraft Jwl [3] Weapon Decorations Rzr Sharp/Ironwall Jwl [3] Weapon Decorations Rzr Sharp/Stream Jwl [3] Weapon Decorations","3",""
"","Recovery Speed","","Doubles the speed at which you heal recoverable damage.","Triples the speed at which you heal recoverable damage.","Quadruples the speed at which you heal recoverable damage.","","","","","","Arkveld α Armor Sets Arkveld β Armor Sets Arkvulcan Coil α Waist Arkvulcan Coil β Waist Arkvulcan Vambraces α Arms Butterfly Brachia α Arms Butterfly α Armor Sets Chainmail Armor Sets Chainmail Belt Waist Chainmail Belt α Waist Chainmail Gloves α Arms Chainmail Pants Legs Chainmail Pants α Legs Chainmail α Armor Sets Doshaguma Armor Sets Doshaguma Braces Arms Gravios Greaves α Legs Gravios Greaves β Legs Gravios Mail α Chest Gravios Mail β Chest Gravios α Armor Sets Gravios β Armor Sets Hirabami Armor Sets Hirabami Headdress Head Hirabami Mail Chest Melahoa Branch α Arms Melahoa α Armor Sets Rathian Greaves α Legs Rathian Greaves β Legs Rathian Helm α Head Rathian α Armor Sets Rathian β Armor Sets Recovery Jewel [1] Armor Decorations Speed Heal Charm I Level 1 Speed Heal Charm II Level 2 Speed Heal Charm III Level 3","3",""
"","Recovery Up","","Slightly increases recovery.","Moderately increases recovery.","Greatly increases recovery.","","","","","","Barina Coil Waist Barina Greaves Legs Barina Mail α Chest Barina Mail β Chest Barina Vambraces Arms Barina Vambraces α Arms Barina Vambraces β Arms Butterfly Crura α Legs Butterfly α Armor Sets Damascus Coil α Waist Damascus Mail α Chest Damascus α Armor Sets Doshaguma Greaves α Legs Doshaguma Greaves β Legs Doshaguma α Armor Sets Doshaguma β Armor Sets Hope Charm Level 1 Kut-Ku Coil α Waist Kut-Ku Coil β Waist Kut-Ku Greaves α Legs Kut-Ku Greaves β Legs Kut-Ku α Armor Sets Kut-Ku β Armor Sets Lala Barina Armor Sets Lala Barina α Armor Sets Lala Barina β Armor Sets Medicine Jewel [1] Armor Decorations Melahoa Folia α Waist Melahoa α Armor Sets Recovery Charm I Level 1 Recovery Charm II Level 2 Recovery Charm III Level 3","3",""
"","Resentment","","Attack +5 while active.","Attack +10 while active.","Attack +15 while active.","Attack +20 while active.","Attack +25 while active.","","","","Ajarakan Greaves α Legs Ajarakan Helm α Head Ajarakan Helm β Head Ajarakan Mail α Chest Ajarakan Mail β Chest Ajarakan α Armor Sets Ajarakan β Armor Sets Death Stench Bowels α Waist Death Stench Brain α Head Death Stench Grip α Arms Death Stench Heel α Legs Death Stench Muscle α Chest Death Stench α Armor Sets Furor Jewel [2] Armor Decorations Fury Charm I Level 1 Fury Charm II Level 2 Gypceros Coil α Waist Gypceros Greaves α Legs Gypceros Greaves β Legs Gypceros Vambraces α Arms Gypceros Vambraces β Arms Gypceros α Armor Sets Gypceros β Armor Sets Ingot Coil α Waist Ingot Greaves α Legs Ingot Helm α Head Ingot Mail α Chest Ingot Vambraces α Arms Ingot α Armor Sets Nu Udra Armor Sets Nu Udra α Armor Sets Nu Udra β Armor Sets Udra Mirecoil Waist Udra Mirecoil α Waist Udra Mirecoil β Waist Udra Mirehelm Head Udra Mirehelm α Head Udra Mirehelm β Head Udra Miremail Chest Udra Miremail α Chest Udra Miremail β Chest","5",""
