"Title","ArmorSet","Rarity","Price","Skills","Slot1","Slot2","Slot3","DefensiveStats","ForgingMaterials","UnlockRequirements"
"G. Seikret Coil β","Guardian Seikret β Armor Sets","Rarity 6","4,000 z","Guardian's Protection Jump Master Earplugs","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","4× Guardian Seikret Feather+ 4× Tough Guardian Bone","Thundering Flowers Assignments"
"Gajau Boots","Gajau Aquatic Life","Rarity 1","200 z","Flexible Leathercraft Water Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gajau Hide","Gajau Hide"
"Gajau Boots α","Gajau α Armor Sets","Rarity 6","4,000 z","Flexible Leathercraft Water Resistance Outdoorsman","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Gajau Hide 5× Monster Broth","Thundering Flowers Assignments"
"Gore Coil α","Gore α Armor Sets","Rarity 7","7,000 z","Gore Magala's Tyranny Scaling Prowess Constitution Antivirus","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Gore Magala Scale+ 3× Gore Magala Ripclaw+ 3× Gore Magala Wing+ 2× Frenzy Shard","Gore Magala"
"Gore Coil β","Gore β Armor Sets","Rarity 7","7,000 z","Gore Magala's Tyranny Scale Layering Constitution","3","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Gore Magala Scale+ 3× Gore Magala Ripclaw+ 3× Gore Magala Wing+ 2× Frenzy Shard","Gore Magala"
"","","","","","","","","","",""
"Gore Greaves α","Gore α Armor Sets","Rarity 7","7,000 z","Gore Magala's Tyranny Scaling Prowess Antivirus Flinch Free","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gore Magala Certificate S 3× Gore Magala Scale+ 4× Gore Magala Wing+ 1× Gore Magala Nyctgem","Gore Magala"
"Gore Greaves β","Gore β Armor Sets","Rarity 7","7,000 z","Gore Magala's Tyranny Scale Layering Antivirus Flinch Free","3","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gore Magala Certificate S 3× Gore Magala Scale+ 4× Gore Magala Wing+ 1× Gore Magala Nyctgem","Gore Magala"
"Gore Helm α","Gore α Armor Sets","Rarity 7","7,000 z","Gore Magala's Tyranny Scaling Prowess Evade Window Coalescence","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Gore Magala Certificate S 2× Gore Magala Feeler+ 4× Gore Magala Wing+ 1× Wyvern Gem","Gore Magala"
"Gore Helm β","Gore β Armor Sets","Rarity 7","7,000 z","Gore Magala's Tyranny Scale Layering Evade Window Coalescence","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Gore Magala Certificate S 2× Gore Magala Feeler+ 4× Gore Magala Wing+ 1× Wyvern Gem","Gore Magala"
"Gore Mail α","Gore α Armor Sets","Rarity 7","7,000 z","Gore Magala's Tyranny Scaling Prowess Evade Window Antivirus","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Gore Magala Scale+ 6× Gore Magala Carapace 2× Gore Magala Ripclaw+ 2× Gore Magala Tail","Gore Magala"
"Gore Mail β","Gore β Armor Sets","Rarity 7","7,000 z","Gore Magala's Tyranny Scale Layering Evade Window","3","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Gore Magala Scale+ 6× Gore Magala Carapace 2× Gore Magala Ripclaw+ 2× Gore Magala Tail","Gore Magala"
"Gore Vambraces α","Gore α Armor Sets","Rarity 7","7,000 z","Gore Magala's Tyranny Scaling Prowess Evade Window Constitution","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Gore Magala Certificate S 5× Gore Magala Carapace 2× Gore Magala Feeler+ 2× Frenzy Crystal","Gore Magala"
"Gore Vambraces β","Gore β Armor Sets","Rarity 7","7,000 z","Gore Magala's Tyranny Scale Layering Evade Window Constitution","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Gore Magala Certificate S 5× Gore Magala Carapace 2× Gore Magala Feeler+ 2× Frenzy Crystal","Gore Magala"
"Gravios Coil α","Gravios α Armor Sets","Rarity 6","5,000 z","Gravios's Protection Scaling Prowess Peak Performance Flinch Free","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gravios Certificate S 5× Gravios Wing 4× Gravios Pleura+ 2× Kranodath Skull+","Gravios"
"Gravios Coil β","Gravios β Armor Sets","Rarity 6","5,000 z","Gravios's Protection Scale Layering Peak Performance Flinch Free","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gravios Certificate S 5× Gravios Wing 4× Gravios Pleura+ 2× Kranodath Skull+","Gravios"
"Gravios Greaves α","Gravios α Armor Sets","Rarity 6","5,000 z","Gravios's Protection Scaling Prowess Tremor Resistance Recovery Speed","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Gravios Carapace 6× Gravios Wing 2× Gravios Skull 3× Coma Sac","Gravios"
"Gravios Greaves β","Gravios β Armor Sets","Rarity 6","5,000 z","Gravios's Protection Scale Layering Tremor Resistance Recovery Speed","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","6× Gravios Carapace 6× Gravios Wing 2× Gravios Skull 3× Coma Sac","Gravios"
"","","","","","","","","","",""
"Gravios Helm α","Gravios α Armor Sets","Rarity 6","5,000 z","Gravios's Protection Scaling Prowess Peak Performance Tremor Resistance","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Gravios Carapace 3× Gravios Pleura+ 3× Monster Keenbone","Gravios"
"Gravios Helm β","Gravios β Armor Sets","Rarity 6","5,000 z","Gravios's Protection Scale Layering Peak Performance","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","5× Gravios Carapace 3× Gravios Pleura+ 3× Monster Keenbone","Gravios"
"Gravios Mail α","Gravios α Armor Sets","Rarity 6","5,000 z","Gravios's Protection Scaling Prowess Peak Performance Recovery Speed","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gravios Certificate S 3× Gravios Wing 1× Wyvern Gem 2× Firestone","Gravios"
"Gravios Mail β","Gravios β Armor Sets","Rarity 6","5,000 z","Gravios's Protection Scale Layering Peak Performance Recovery Speed","2","2","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gravios Certificate S 3× Gravios Wing 1× Wyvern Gem 2× Firestone","Gravios"
"Gravios Vambraces α","Gravios α Armor Sets","Rarity 6","5,000 z","Gravios's Protection Scaling Prowess Peak Performance Flinch Free","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Gravios Certificate S 4× Gravios Carapace 1× Gravios Medulla 1× Firecell Stone","Gravios"
"Gravios Vambraces β","Gravios β Armor Sets","Rarity 6","5,000 z","Gravios's Protection Scale Layering Peak Performance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Gravios Certificate S 4× Gravios Carapace 1× Gravios Medulla 1× Firecell Stone","Gravios"
"Guild Ace Boots α","Guild Ace α Armor Sets","Rarity 8","8,000 z","Peak Performance Foray Constitution","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 2× Fucium Ore 3× Guardian Blood+","Arkveld"
"Guild Ace Coil α","Guild Ace α Armor Sets","Rarity 8","8,000 z","Peak Performance Foray Constitution","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 2× Fucium Ore 5× Quality Bone","Arkveld"
"Guild Ace Earrings α","Guild Ace α Armor Sets","Rarity 8","8,000 z","Peak Performance Foray Constitution","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 2× Fucium Ore 3× Guardian Pelt+","Arkveld"
"Guild Ace Mail α","Guild Ace α Armor Sets","Rarity 8","8,000 z","Peak Performance Foray Constitution","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 2× Fucium Ore 3× Guardian Scale+","Arkveld"
"Guild Ace Vambraces α","Guild Ace α Armor Sets","Rarity 8","8,000 z","Peak Performance Foray Constitution","3","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hunter Symbol III 2× Fucium Ore 5× Carbalite Ore","Arkveld"
"Gypceros Coil α","Gypceros α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Stamina Surge Resentment","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gypceros Certificate S 2× Rubbery Hide+ 1× Gypceros Tail 1× Novacrystal","Gypceros"
"","","","","","","","","","",""
"Gypceros Coil β","Gypceros β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Stamina Surge","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gypceros Certificate S 2× Rubbery Hide+ 1× Gypceros Tail 1× Novacrystal","Gypceros"
"Gypceros Greaves α","Gypceros α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Resentment Marathon Runner","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gypceros Certificate S 1× Gypceros 1× Toxin Sac","Gypceros"
"Gypceros Greaves β","Gypceros β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Resentment Marathon Runner","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gypceros Certificate S 1× Gypceros 1× Toxin Sac","Gypceros"
"Gypceros Helm α","Gypceros α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Stamina Surge Blindsider","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gypceros Certificate S 2× Gypceros Wing 1× Gypceros","Gypceros"
"Gypceros Helm β","Gypceros β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Stamina Surge","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Gypceros Certificate S 2× Gypceros Wing 1× Gypceros","Gypceros"
"Gypceros Mail α","Gypceros α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Stamina Surge Poison Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rubbery Hide+ 1× Gypceros Wing 1× Gypceros Tail 1× Gypceros","Gypceros"
"Gypceros Mail β","Gypceros β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Stamina Surge","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rubbery Hide+ 1× Gypceros Wing 1× Gypceros Tail 1× Gypceros","Gypceros"
"Gypceros Vambraces α","Gypceros α Armor Sets","Rarity 5","3,000 z","Flexible Leathercraft Resentment Poison Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rubbery Hide+ 1× Gypceros Tail 1× Monster Keenbone","Gypceros"
"Gypceros Vambraces β","Gypceros β Armor Sets","Rarity 5","3,000 z","Buttery Leathercraft Resentment","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Rubbery Hide+ 1× Gypceros Tail 1× Monster Keenbone","Gypceros"
"High Metal Braces α","High Metal α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Blast Resistance Partbreaker","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Drearisite Scraps 1× Carbalite Ore 1× Charred Oilbone","Drearisite Scraps"
"High Metal Coil α","High Metal α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Bombardier Aquatic/Oilsilt Mobility","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Drearisite Scraps 1× Carbalite Ore 1× Charred Oilbone","Drearisite Scraps"
"High Metal Greaves α","High Metal α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Flinch Free Bleeding Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Drearisite Scraps 1× Carbalite Ore 1× Kranodath Skull+","Drearisite Scraps"
"High Metal Helm α","High Metal α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Stun Resistance Partbreaker","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Drearisite Scraps 1× Carbalite Ore 1× Kranodath Skull+","Drearisite Scraps"
"High Metal Mail α","High Metal α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Iron Skin Partbreaker","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Drearisite Scraps 1× Carbalite Ore 1× Kranodath Skull+","Drearisite Scraps"
"Hirabami Coil","Hirabami Large Monsters","Rarity 3","500 z","Scaling Prowess Evade Window Ice Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Hirabami Scale 1× Hirabami Hide 1× Hirabami Tail Claw","Hirabami"
"Hirabami Coil α","Hirabami α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Evade Window","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Hirabami Scale+ 1× Hirabami Webbing+ 1× Monster Keenbone","Hirabami Scale+"
"Hirabami Coil β","Hirabami β Armor Sets","Rarity 5","3,500 z","Scale Layering Evade Window","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Hirabami Scale+ 1× Hirabami Webbing+ 1× Monster Keenbone","Hirabami Scale+"
"Hirabami Greaves","Hirabami Large Monsters","Rarity 3","500 z","Scaling Prowess Evade Window Ice Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hirabami Certificate 2× Hirabami Scale 1× Hirabami Webbing 1× Frozen Icebone","Hirabami"
"Hirabami Greaves α","Hirabami α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Ice Resistance Peak Performance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Hirabami Scale+ 2× Hirabami Hide+ 2× Hirabami Webbing+ 1× Hirabami Tail Claw+","Hirabami Scale+"
"Hirabami Greaves β","Hirabami β Armor Sets","Rarity 5","3,500 z","Scale Layering Peak Performance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Hirabami Scale+ 2× Hirabami Hide+ 2× Hirabami Webbing+ 1× Hirabami Tail Claw+","Hirabami Scale+"
"Hirabami Headdress","Hirabami Large Monsters","Rarity 3","500 z","Scaling Prowess Evade Window Recovery Speed","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hirabami Webbing 1× Hirabami Tail Claw 1× Frost Sac","Hirabami"
"Hirabami Headdress α","Hirabami α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Evade Window Evade Extender","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hirabami Certificate S 3× Hirabami Hide+ 2× Hirabami Tail Claw+","Hirabami Scale+"
"Hirabami Headdress β","Hirabami β Armor Sets","Rarity 5","3,500 z","Scale Layering Evade Window","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hirabami Certificate S 3× Hirabami Hide+ 2× Hirabami Tail Claw+","Hirabami Scale+"
"Hirabami Mail","Hirabami Large Monsters","Rarity 3","500 z","Scaling Prowess Evade Window Recovery Speed","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Hirabami Hide 1× Hirabami Tail Claw","Hirabami"
"","","","","","","","","","",""
"Hirabami Mail α","Hirabami α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Ice Resistance Evade Window","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hirabami Certificate S 1× Hirabami Tail Claw+ 1× Freezer Sac","Hirabami Scale+"
"Hirabami Mail β","Hirabami β Armor Sets","Rarity 5","3,500 z","Scale Layering Ice Resistance Evade Window","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hirabami Certificate S 1× Hirabami Tail Claw+ 1× Freezer Sac","Hirabami Scale+"
"Hirabami Vambraces","Hirabami Large Monsters","Rarity 3","500 z","Scaling Prowess Evade Window Ice Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Hirabami Scale 1× Hirabami Webbing","Hirabami"
"Hirabami Vambraces α","Hirabami α Armor Sets","Rarity 5","3,500 z","Scaling Prowess Evade Window Peak Performance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hirabami Certificate S 2× Hirabami Scale+ 1× Hirabami Webbing+ 1× Wyvern Gem","Hirabami Scale+"
"Hirabami Vambraces β","Hirabami β Armor Sets","Rarity 5","3,500 z","Scale Layering Evade Window","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Hirabami Certificate S 2× Hirabami Scale+ 1× Hirabami Webbing+ 1× Wyvern Gem","Hirabami Scale+"
"Hope Coil","Hope Armor Sets","Rarity 1","100 z","Stun Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Hope Coil α","Hope α Armor Sets","Rarity 5","2,500 z","Divine Blessing Stun Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Sturdy Bone 1× Iron Ore","Lured by Abundance Assignments"
"Hope Greaves","Hope Armor Sets","Rarity 1","100 z","Divine Blessing","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Hope Greaves α","Hope α Armor Sets","Rarity 5","2,500 z","Stun Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","3× Sturdy Bone","Lured by Abundance Assignments"
"Hope Mail","Hope Armor Sets","Rarity 1","100 z","Divine Blessing","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Hope Mail α","Hope α Armor Sets","Rarity 5","2,500 z","Poison Resistance","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Sturdy Bone 1× Earth Crystal","Lured by Abundance Assignments"
"Hope Mask","Hope Armor Sets","Rarity 1","100 z","Stun Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"","","","","","","","","","",""
"Hope Mask α","Hope α Armor Sets","Rarity 5","2,500 z","Divine Blessing","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Sturdy Bone 1× Iron Ore","Lured by Abundance Assignments"
"Hope Vambraces","Hope Armor Sets","Rarity 1","100 z","Divine Blessing","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Hope Vambraces α","Hope α Armor Sets","Rarity 5","2,500 z","Sleep Resistance","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Sturdy Bone 1× Earth Crystal","Lured by Abundance Assignments"
"Ingot Coil","Ingot Armor Sets","Rarity 3","400 z","Divine Blessing","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Dragonite Ore 1× Earth Crystal","Toward Fervent Fields Main Missions"
"Ingot Coil α","Ingot α Armor Sets","Rarity 6","4,000 z","Divine Blessing Resentment","1","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Fucium Ore 3× Carbalite Ore 1× Novacrystal","Thundering Flowers Assignments"
"Ingot Greaves","Ingot Armor Sets","Rarity 3","400 z","Windproof","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Dragonite Ore 1× Firestone","Toward Fervent Fields Main Missions"
"Ingot Greaves α","Ingot α Armor Sets","Rarity 6","4,000 z","Windproof Resentment","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Fucium Ore 1× Carbalite Ore 2× Firestone","Thundering Flowers Assignments"
"Ingot Helm","Ingot Armor Sets","Rarity 3","400 z","Divine Blessing","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Dragonite Ore 1× Machalite Ore","Toward Fervent Fields Main Missions"
"Ingot Helm α","Ingot α Armor Sets","Rarity 6","4,000 z","Divine Blessing Resentment","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Fucium Ore 2× Carbalite Ore 1× Firecell Stone","Thundering Flowers Assignments"
"Ingot Mail","Ingot Armor Sets","Rarity 3","400 z","Windproof","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Dragonite Ore 1× Earth Crystal","Toward Fervent Fields Main Missions"
"Ingot Mail α","Ingot α Armor Sets","Rarity 6","4,000 z","Windproof Resentment","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Fucium Ore 1× Carbalite Ore 4× Icium","Thundering Flowers Assignments"
"Ingot Vambraces","Ingot Armor Sets","Rarity 3","400 z","Stun Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Dragonite Ore 1× Machalite Ore","Toward Fervent Fields Main Missions"
"","","","","","","","","","",""
"Ingot Vambraces α","Ingot α Armor Sets","Rarity 6","4,000 z","Stun Resistance Resentment","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Fucium Ore 2× Carbalite Ore 2× Lightcrystal","Thundering Flowers Assignments"
"King Beetle Brachia α","King Beetle α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Heroics Foray Poison Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hornfly 1× Vespoid Carapace 1× Monster Broth","Great Hornfly"
"King Beetle Crura α","King Beetle α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Heroics Flayer Poison Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hornfly 1× Vespoid Carapace 1× Monster Broth","Great Hornfly"
"King Beetle Elytra α","King Beetle α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Heroics Flayer Paralysis Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hornfly 1× Vespoid Carapace 1× Monster Broth","Great Hornfly"
"King Beetle Thorax α","King Beetle α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Heroics Foray Paralysis Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hornfly 1× Vespoid Carapace 1× Monster Broth","Great Hornfly"
"King Beetle Vertex α","King Beetle α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Heroics Foray Sleep Resistance","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Great Hornfly 1× Vespoid Carapace 1× Monster Broth","Great Hornfly"
"Kranodath Mail","Kranodath Small Monsters","Rarity 3","400 z","Scaling Prowess Flinch Free","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Kranodath Skull 1× Charred Oilbone","Kranodath Small Monsters"
"Kranodath Mail α","Kranodath α Armor Sets","Rarity 5","2,500 z","Scaling Prowess Flinch Free Partbreaker","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","4× Kranodath Skull+ 2× Firecell Stone","Lured by Abundance Assignments"
"Kranodath Mail β","Kranodath β Armor Sets","Rarity 5","2,500 z","Scale Layering Flinch Free","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","4× Kranodath Skull+ 2× Firecell Stone","Lured by Abundance Assignments"
"Kunafa Chaps α","Kunafa α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Wide-Range Palico Rally","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Dalthydon Wool 2× Talioth Scale+","Dalthydon Wool"
"Kunafa Cloak α","Kunafa α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Free Meal Palico Rally","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Dalthydon Wool 1× Acute Fang","Dalthydon Wool"
"Kunafa Headgear α","Kunafa α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Wide-Range Palico Rally","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Dalthydon Wool 2× Talioth Scale+","Dalthydon Wool"
"","","","","","","","","","",""
"Kunafa Sash α","Kunafa α Armor Sets","Rarity 6","4,000 z","Imparted Wisdom Speed Eating Palico Rally","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Dalthydon Wool 1× Acute Fang","Dalthydon Wool"
"Kut-Ku Coil α","Kut-Ku α Armor Sets","Rarity 5","3,000 z","Scaling Prowess Agitator Recovery Up","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Yian Kut-Ku Certificate S 3× Giant Beak 1× Kut-Ku Ear 1× Inferno Sac","Yian Kut-Ku"
"Kut-Ku Coil β","Kut-Ku β Armor Sets","Rarity 5","3,000 z","Scale Layering Agitator Recovery Up","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Yian Kut-Ku Certificate S 3× Giant Beak 1× Kut-Ku Ear 1× Inferno Sac","Yian Kut-Ku"
"Kut-Ku Greaves α","Kut-Ku α Armor Sets","Rarity 5","3,000 z","Scaling Prowess Constitution Recovery Up","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Kut-Ku Scale+ 2× Kut-Ku Carapace 1× Kut-Ku Wing 1× Kut-Ku Ear","Yian Kut-Ku"
"Kut-Ku Greaves β","Kut-Ku β Armor Sets","Rarity 5","3,000 z","Scale Layering Constitution Recovery Up","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Kut-Ku Scale+ 2× Kut-Ku Carapace 1× Kut-Ku Wing 1× Kut-Ku Ear","Yian Kut-Ku"
"Kut-Ku Helm α","Kut-Ku α Armor Sets","Rarity 5","3,000 z","Scaling Prowess Constitution Fire Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Kut-Ku Scale+ 2× Kut-Ku Wing 1× Monster Keenbone","Yian Kut-Ku"
"Kut-Ku Helm β","Kut-Ku β Armor Sets","Rarity 5","3,000 z","Scale Layering Constitution","2","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","2× Kut-Ku Scale+ 2× Kut-Ku Wing 1× Monster Keenbone","Yian Kut-Ku"
"Kut-Ku Mail α","Kut-Ku α Armor Sets","Rarity 5","3,000 z","Scaling Prowess Agitator Fire Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Yian Kut-Ku Certificate S 2× Kut-Ku Scale+ 1× Kut-Ku Wing 1× Firecell Stone","Yian Kut-Ku"
"Kut-Ku Mail β","Kut-Ku β Armor Sets","Rarity 5","3,000 z","Scale Layering Agitator","2","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Yian Kut-Ku Certificate S 2× Kut-Ku Scale+ 1× Kut-Ku Wing 1× Firecell Stone","Yian Kut-Ku"
"Kut-Ku Vambraces α","Kut-Ku α Armor Sets","Rarity 5","3,000 z","Scaling Prowess Constitution Agitator","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Yian Kut-Ku Certificate S 3× Kut-Ku Carapace 1× Giant Beak","Yian Kut-Ku"
"Kut-Ku Vambraces β","Kut-Ku β Armor Sets","Rarity 5","3,000 z","Scale Layering Constitution","2","1","1","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Yian Kut-Ku Certificate S 3× Kut-Ku Carapace 1× Giant Beak","Yian Kut-Ku"
"Leather Belt","Leather Armor Sets","Rarity 1","100 z","Botanist","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"","","","","","","","","","",""
"Leather Belt α","Leather α Armor Sets","Rarity 5","2,500 z","Hunger Resistance","1","1","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Pelt","Lured by Abundance Assignments"
"Leather Gloves","Leather Armor Sets","Rarity 1","100 z","Hunger Resistance","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Leather Gloves α","Leather α Armor Sets","Rarity 5","2,500 z","Botanist Hunger Resistance","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Pelt 1× Machalite Ore","Lured by Abundance Assignments"
"Leather Headgear","Leather Armor Sets","Rarity 1","100 z","Botanist","","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","",""
"Leather Headgear α","Leather α Armor Sets","Rarity 5","2,500 z","Botanist","1","","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","1× Guardian Pelt","Lured by Abundance Assignments"
