"Title","MaxLevel","Lv1","Lv2","Lv3","Lv4","Lv5","Lv6","Lv7","ObtainedFrom"
"Power Prolonger","3","Moderately boosts the duration weapons are powered up.","Boosts the duration weapons are powered up.","Greatly boosts the duration weapons are powered up.","","","","","A Ajara Trident I Insect Glaive Ajara Trident II Insect Glaive Ajara Twin Edges I Dual Blades Ajara Twin Edges II Dual Blades Ajara-Bhadra Insect Glaive Ajara-Panthaka Dual Blades B Balahara Glaive I Insect Glaive Balahara Glaive II Insect Glaive Balahara Glaive III Insect Glaive Balahara Glaive IV Insect Glaive Beak Axe I Switch Axe Beak Axe II Switch Axe Bequeathed Oblivion Dual Blades Blango Sai I Dual Blades Blango Trishula Dual Blades Blood Cry I Long Sword Blood Cry II Long Sword Blood Cry III Long Sword Blood Scream Long Sword Brutus's Abolishment Switch Axe C Chata Glaive I Insect Glaive Chata Glaive II Insect Glaive Chata Glaive III Insect Glaive Chata Glaive IV Insect Glaive Chthonian Kusarigamas I Dual Blades Chthonian Kusarigamas II Dual Blades D Dosha Fastflayers I Dual Blades Dosha Fastflayers II Dual Blades Dosha Fastflayers III Dual Blades Dosha Fleshhacker I Switch Axe Dosha Fleshhacker II Switch Axe Dosha Fleshhacker III Switch Axe Dosha Gravecleaver I Long Sword Dosha Gravecleaver II Long Sword Dual Battleaxes I Dual Blades Dual Battleaxes II Dual Blades Dual Cleavers Dual Blades Dual Hatchets I Dual Blades Dual Hatchets II Dual Blades Dual Hatchets III Dual Blades Dual Kut-Ku Dual Blades E Enduring Tor Insect Glaive Enhancer Jewel II [2] Enhancer Jewel III [3] Enhancer Jewel [1] Enhancer/Blaze Jewel [3] Enhancer/Bolt Jewel [3] Enhancer/Dragon Jwl [3] Enhancer/Frost Jwl [3] Enhancer/Handicraft Jwl [3] Enhancer/Stream Jwl [3] F Fastflayers Jambastra Dual Blades Final Battleaxes Dual Blades Fleshhacker Yaogahaac Switch Axe G G. Enduring Tor Insect Glaive G. Veldian Trudis I Insect Glaive G. Veldian Trudis II Insect Glaive Gravecleaver Urkemush Long Sword J Jin Dhachhad Insect Glaive K Khlunda-of-the-Waves Long Sword Kut-Ku Pair I Dual Blades Kut-Ku Pair II Dual Blades Kut-Ku Pike I Insect Glaive Kut-Ku Pike II Insect Glaive N Ngarpatu-of-the-Waves Dual Blades Nihil Switch Axe I Switch Axe Nihil Switch Axe II Switch Axe O Olacha-of-the-Waves Switch Axe P Precipice Geumgel Insect Glaive R Rompo Hacker I Long Sword Rompo Hacker II Long Sword Rompo Hacker III Long Sword Rompo Mytoxin Long Sword S Sandsea Uchaltiya Insect Glaive Sawbill Axe Switch Axe Shrouded Laphoka Insect Glaive T Toucan Pike Insect Glaive U Uth Khlunda I Long Sword Uth Khlunda II Long Sword Uth Khlunda III Long Sword Uth Ngarpatu I Dual Blades Uth Ngarpatu II Dual Blades Uth Ngarpatu III Dual Blades Uth Olacha I Switch Axe Uth Olacha II Switch Axe Uth Olacha III Switch Axe Uth Valeroje I Charge Blade Uth Valeroje II Charge Blade Uth Valeroje III Charge Blade V Valeroje-of-the-Waves Charge Blade Veldian Trudis I Insect Glaive"
"Protective Polish","3","Grants no sharpness loss for 30 seconds after activation.","Grants no sharpness loss for 60 seconds after activation.","Grants no sharpness loss for 90 seconds after activation.","","","","","Abaddonian Krake Great Sword Abaddonian Pulpo Hammer Giant Jawblade Great Sword Glass Royale Hunting Horn Jawblade I Great Sword Nu Krake I Great Sword Nu Krake II Great Sword Nu Pulpo I Hammer Nu Pulpo II Hammer Sharp Jewel II [2] Sharp Jewel III [3] Sharp Jewel [1] Sonic Horn I Hunting Horn Sonic Horn II Hunting Horn Sonic Horn III Hunting Horn Sonic Horn IV Hunting Horn"
"Punishing Draw","3","Draw attacks deal a small amount of stun damage and gain attack…","Draw attacks deal a medium amount of stun damage and gain attack…","Draw attacks deal a large amount of stun damage and gain attack…","","","","","B Big Slugger Gunlance D Dosha Fatecleaver I Long Sword Dosha Fatecleaver II Long Sword Dosha Fatecleaver III Long Sword Dosha Fellslayer I Great Sword Dosha Fellslayer II Great Sword Dosha Fellslayer III Great Sword Dosha Fierceborer I Lance Dosha Fierceborer II Lance Dosha Fierceborer III Lance F Fatecleaver Kimkemush Long Sword Fellslayer Dangeom Great Sword Fierceborer Dubhanith Lance Firetrail Blaisdell Great Sword Firetrail Ferrocere Long Sword Freezer Speartuna Great Sword Frozen Speartuna I Great Sword Frozen Speartuna II Great Sword Funky Maracas Dual Blades G Gambit Jewel II [2] Gambit Jewel III [3] Gambit Jewel [1] Gambit/Handicraft Jwl [3] Gambit/Ironwall Jwl [3] Gambit/KO Jewel [3] Golba Vandal I Switch Axe Golba Vandal II Switch Axe Graviafaren I Insect Glaive Gravordius Insect Glaive Gundava Vandal Switch Axe H Hard Hitter I Gunlance Hard Hitter II Gunlance P Pink Maracas I Dual Blades Pink Maracas II Dual Blades Poison Blade I Charge Blade Poison Blade II Charge Blade Poison King Great Sword Q Quematrice Espada I Great Sword Quematrice Espada II Great Sword Quematrice Espada III Great Sword Quematrice Espada IV Great Sword Quematrice Lima I Long Sword Quematrice Lima II Long Sword Quematrice Lima III Long Sword Quematrice Lima IV Long Sword R Rey Tonitrus I Long Sword Rey Tonitrus II Long Sword Rey Tonitrus III Long Sword S Slaughter I Great Sword Slaughter II Great Sword T Tonitrus Clairblade Long Sword V Venom's Kiss Charge Blade Venom's Pain I Sword and Shield Venom's Pain II Sword and Shield Viperine Saber Sword and Shield"
"Quick Sheathe","3","Slightly increases sheathing speed.","Increases sheathing speed.","Greatly increases sheathing speed.","","","","","Alloy Alloy Coil α Alloy Greaves Alloy Greaves α Alloy Helm Alloy Helm α Alloy α Arkveld α Arkveld β Arkvulcan Greaves α Arkvulcan Greaves β Balahara Balahara Mail Commission Vambraces α Commission α Duna Wildbraces α Duna Wildbraces β Sheath Jewel [1] Sheathe Charm I Sheathe Charm II Sheathe Charm III Uth Duna α Uth Duna β"
"Rapid Fire Up","1","Rapid fire damage +5%","","","","","","","Salvo Jewel [3]"
"Rapid Morph","3","Speed +10%","Speed +20% Morph attack damage +10%","Speed +30% Morph attack damage +20%","","","","","Abaddonian Pweza Charge Blade Abaddonian Zhangyu Switch Axe Chrome Accelerator Switch Axe Hyperguard I Charge Blade Hyperguard II Charge Blade Hyperguard III Charge Blade Iron Accelerator I Switch Axe Iron Accelerator II Switch Axe Iron Accelerator III Switch Axe Nu Pweza I Charge Blade Nu Pweza II Charge Blade Nu Zhangyu I Switch Axe Nu Zhangyu II Switch Axe Quickswitch Jewel II [2] Quickswitch Jewel III [3] Quickswitch Jewel [1] Quickswitch/Blaze Jwl [3] Quickswitch/Bolt Jwl [3] Quickswitch/Dragon Jwl [3] Quickswitch/Frost Jwl [3] Quickswitch/Handicraft Jwl [3] Quickswitch/Ironwall Jwl [3] Quickswitch/KO Jwl [3] Quickswitch/Stream Jwl [3] Regas Hyper Charge Blade"
"Rathalos's Flare","2","Chance to deal additional fire damage after landing an attack.…","Increases additional fire damage after landing an attack.","","","","","","G. Rathalos Coil G. Rathalos Coil α G. Rathalos Coil β G. Rathalos Greaves G. Rathalos Greaves α G. Rathalos Greaves β G. Rathalos Helm G. Rathalos Helm α G. Rathalos Helm β G. Rathalos Mail G. Rathalos Mail α G. Rathalos Mail β G. Rathalos Vambraces G. Rathalos Vambraces α G. Rathalos Vambraces β Guardian Rathalos Guardian Rathalos α Guardian Rathalos β Rathalos Coil α Rathalos Coil β Rathalos Greaves α Rathalos Greaves β Rathalos Helm α Rathalos Helm β Rathalos Mail α Rathalos Mail β Rathalos Vambraces α Rathalos Vambraces β Rathalos α Rathalos β"
"Razor Sharp","3","Grants a 10% chance of no sharpness loss.","Grants a 25% chance of no sharpness loss.","Grants a 50% chance of no sharpness loss.","","","","","Razor Sharp Jewel II [2] Razor Sharp Jewel [1] Razor Sharp/KO Jwl [3] Rzr Sharp Jwl III [3] Rzr Sharp/Blaze Jwl [3] Rzr Sharp/Bolt Jwl [3] Rzr Sharp/Dragon Jwl [3] Rzr Sharp/Frost Jwl [3] Rzr Sharp/Handicraft Jwl [3] Rzr Sharp/Ironwall Jwl [3] Rzr Sharp/Stream Jwl [3]"
"Recovery Speed","3","Doubles the speed at which you heal recoverable damage.","Triples the speed at which you heal recoverable damage.","Quadruples the speed at which you heal recoverable damage.","","","","","Arkveld α Arkveld β Arkvulcan Coil α Arkvulcan Coil β Arkvulcan Vambraces α Butterfly Brachia α Butterfly α Chainmail Chainmail Belt Chainmail Belt α Chainmail Gloves α Chainmail Pants Chainmail Pants α Chainmail α Doshaguma Doshaguma Braces Gravios Greaves α Gravios Greaves β Gravios Mail α Gravios Mail β Gravios α Gravios β Hirabami Hirabami Headdress Hirabami Mail Melahoa Branch α Melahoa α Rathian Greaves α Rathian Greaves β Rathian Helm α Rathian α Rathian β Recovery Jewel [1] Speed Heal Charm I Speed Heal Charm II Speed Heal Charm III"
"Recovery Up","3","Slightly increases recovery.","Moderately increases recovery.","Greatly increases recovery.","","","","","Barina Coil Barina Greaves Barina Mail α Barina Mail β Barina Vambraces Barina Vambraces α Barina Vambraces β Butterfly Crura α Butterfly α Damascus Coil α Damascus Mail α Damascus α Doshaguma Greaves α Doshaguma Greaves β Doshaguma α Doshaguma β Hope Charm Kut-Ku Coil α Kut-Ku Coil β Kut-Ku Greaves α Kut-Ku Greaves β Kut-Ku α Kut-Ku β Lala Barina Lala Barina α Lala Barina β Medicine Jewel [1] Melahoa Folia α Melahoa α Recovery Charm I Recovery Charm II Recovery Charm III"
"Resentment","5","Attack +5 while active.","Attack +10 while active.","Attack +15 while active.","Attack +20 while active.","Attack +25 while active.","","","Ajarakan Greaves α Ajarakan Helm α Ajarakan Helm β Ajarakan Mail α Ajarakan Mail β Ajarakan α Ajarakan β Death Stench Bowels α Death Stench Brain α Death Stench Grip α Death Stench Heel α Death Stench Muscle α Death Stench α Furor Jewel [2] Fury Charm I Fury Charm II Gypceros Coil α Gypceros Greaves α Gypceros Greaves β Gypceros Vambraces α Gypceros Vambraces β Gypceros α Gypceros β Ingot Coil α Ingot Greaves α Ingot Helm α Ingot Mail α Ingot Vambraces α Ingot α Nu Udra Nu Udra α Nu Udra β Udra Mirecoil Udra Mirecoil α Udra Mirecoil β Udra Mirehelm Udra Mirehelm α Udra Mirehelm β Udra Miremail Udra Miremail α Udra Miremail β"
"Rey Dau's Voltage","2","Moderately extends the activation time of the Latent Power skill.…","Extends the activation time of the Latent Power skill.","","","","","","Rey Dau Rey Dau α Rey Dau β Rey Sandbraces Rey Sandbraces α Rey Sandbraces β Rey Sandcoil Rey Sandcoil α Rey Sandcoil β Rey Sandgreaves Rey Sandgreaves α Rey Sandgreaves β Rey Sandhelm Rey Sandhelm α Rey Sandhelm β Rey Sandmail Rey Sandmail α Rey Sandmail β"
"","","","","","","","","",""
"Rider Meal","","","","","","","","",""
"Riser Meal","","","","","","","","",""
"Scale Layering","1","Temporarily reduces stamina depletion when health is at 40% or…","","","","","","","Balahara Coil β Balahara Greaves β Balahara Helm β Balahara Mail β Balahara Vambraces β Balahara β Gore Coil β Gore Greaves β Gore Helm β Gore Mail β Gore Vambraces β Gore β Gravios Coil β Gravios Greaves β Gravios Helm β Gravios Mail β Gravios Vambraces β Gravios β Hirabami Coil β Hirabami Greaves β Hirabami Headdress β Hirabami Mail β Hirabami Vambraces β Hirabami β Kranodath Mail β Kranodath β Kut-Ku Coil β Kut-Ku Greaves β Kut-Ku Helm β Kut-Ku Mail β Kut-Ku Vambraces β Kut-Ku β Quematrice Braces β Quematrice Coil β Quematrice Greaves β Quematrice Helm β Quematrice Mail β Quematrice β Rathalos Coil β Rathalos Greaves β Rathalos Helm β Rathalos Mail β Rathalos Vambraces β Rathalos β Rathian Coil β Rathian Greaves β Rathian Helm β Rathian Mail β Rathian Vambraces β Rathian β"
"Scaling Prowess","1","Makes it easier to mount monsters and to wound them once mounted.…","","","","","","","B Balahara Balahara Coil Balahara Coil α Balahara Greaves Balahara Greaves α Balahara Helm Balahara Helm α Balahara Mail Balahara Mail α Balahara Vambraces Balahara Vambraces α Balahara α G Gore Coil α Gore Greaves α Gore Helm α Gore Mail α Gore Vambraces α Gore α Gravios Coil α Gravios Greaves α Gravios Helm α Gravios Mail α Gravios Vambraces α Gravios α H Hirabami Hirabami Coil Hirabami Coil α Hirabami Greaves Hirabami Greaves α Hirabami Headdress Hirabami Headdress α Hirabami Mail Hirabami Mail α Hirabami Vambraces Hirabami Vambraces α Hirabami α K Kranodath Kranodath Mail Kranodath Mail α Kranodath α Kut-Ku Coil α Kut-Ku Greaves α Kut-Ku Helm α Kut-Ku Mail α Kut-Ku Vambraces α Kut-Ku α Q Quematrice Quematrice Braces Quematrice Braces α Quematrice Coil Quematrice Coil α Quematrice Greaves Quematrice Greaves α Quematrice Helm Quematrice Helm α Quematrice Mail Quematrice Mail α Quematrice α R Rathalos Coil α Rathalos Greaves α Rathalos Helm α Rathalos Mail α Rathalos Vambraces α Rathalos α Rathian Coil α Rathian Greaves α Rathian Helm α Rathian Mail α Rathian Vambraces α Rathian α"
"Self-Improvement","1","Activates skill effect.","","","","","","","Growth Jewel [1] Hope Charm"
"Shock Absorber","1","Activates skill effect.","","","","","","","Shockproof Jewel [1]"
"Sizzling Meal","","Negates the effects of hot or cold climates and increases defense…","","","","","","",""
"Sleep Attack","3","Sleep buildup +5% Bonus: +10","Sleep buildup +10% Bonus: +20","Sleep buildup +20% Bonus: +50","","","","","Sleep Jewel II [2] Sleep Jewel III [3] Sleep Jewel [1]"
"Sleep Functionality","1","Lets you use sleep coatings.","","","","","","","Sleepcoat Jewel [3]"
"Sleep Resistance","3","Reduces the duration of sleep by 30%.","Reduces the duration of sleep by 60%.","Prevents sleep.","","","","","Battle Mail α Battle α Comaqchi Comaqchi Accessory Comaqchi Accessory α Comaqchi Accessory β Comaqchi α Comaqchi β Hope Vambraces α Hope α King Beetle Vertex α King Beetle α Nerscylla Nerscylla Coil Nerscylla Coil α Nerscylla Greaves α Nerscylla Greaves β Nerscylla α Nerscylla β Pep Jewel [1] Sleep Charm I Sleep Charm II Sleep Charm III"
"Slugger","3","Stun power +20%","Stun power +30%","Stun power +40%","","","","","Ajara Reverberator I Hunting Horn Ajara Reverberator II Hunting Horn Ajara-Jivaka Hunting Horn Balahara Hammer I Hammer Balahara Hammer II Hammer Balahara Hammer III Hammer Balahara Hammer IV Hammer Balahara Horn I Hunting Horn Balahara Horn II Hunting Horn Balahara Horn III Hunting Horn Balahara Horn IV Hunting Horn Blan Gada I Hammer Dosha Farsounder I Hunting Horn Dosha Farsounder II Hunting Horn Dosha Farsounder III Hunting Horn Dosha Gigasbreaker I Light Bowgun Dosha Gigasbreaker II Light Bowgun Farsounder Honga Hunting Horn Freezer Speartuna Great Sword Frozen Speartuna II Great Sword Gigasbreaker Urbolkule Light Bowgun Jin Dhaang I Hunting Horn KO Jewel II [2] KO Jewel III [3] KO Jewel [1] Precipice Kovira Hunting Horn Resounding Galahad Hunting Horn Rey Szelatya I Light Bowgun Rey Szelatya II Light Bowgun Rey Szelatya III Light Bowgun Sandsea Ghantisil Hunting Horn Sandsea Siamitiya Hammer Singha Gada Hammer Super Kut-Ku Cannon Heavy Bowgun Szelatya Clairgun Light Bowgun Veldian Sibilus I Hunting Horn Yian Kut-Ku Cannon I Heavy Bowgun Yian Kut-Ku Cannon II Heavy Bowgun"
"Special Ammo Boost","2","Moderately increases the power of specified ammo and arrows.…","Increases the power of specified ammo and arrows.","","","","","","Assault Conga I Light Bowgun Assault Conga II Light Bowgun Combat Conga Light Bowgun Dosha Griefbringer I Bow Dosha Griefbringer II Bow Griefbringer Urstox Bow Perkonis Clairbow Bow Power Stinger Heavy Bowgun Power Stinger II Heavy Bowgun Rey Perkonis I Bow Rey Perkonis II Bow Rey Perkonis III Bow Titan Launcher I Light Bowgun Titan Panzer Light Bowgun Trueshot Jewel II [2] Trueshot Jewel [1] Wild Power Bow I Bow Wild Power Bow II Bow Wild Stinger Heavy Bowgun Wildwood Kalifa Bow"
"","","","","","","","","",""
"Specialist Meal","","Increases the potency of abnormal status attacks.","","","","","","",""
"Speed Eating","3","Moderately increases eating speed.","Increases eating speed.","Greatly increases eating speed.","","","","","Bone Helm α Bone Vambraces α Bone α Chatacabra Chatacabra Coil Chatacabra Coil α Chatacabra Coil β Chatacabra Helm Chatacabra Helm α Chatacabra Helm β Chatacabra Mail Chatacabra Mail α Chatacabra Mail β Chatacabra α Chatacabra β Conga Vambraces α Conga α Glutton's Charm I Glutton's Charm II Glutton's Charm III Gobbler Jewel [1] Kunafa Sash α Kunafa α Nu Udra Nu Udra α Nu Udra β Udra Mirebraces Udra Mirebraces α Udra Mirebraces β Udra Mirecoil α Udra Miregreaves Udra Miremail"
"Speed Sharpening","2","Removes one cycle from the sharpening process.","Removes two cycles from the sharpening process.","","","","","","A Abaddonian Krake Great Sword Abaddonian Pulpo Hammer D Destructive Torpor Great Sword E Esperanza Axe Switch Axe Esperanza Blade Great Sword Esperanza Daggers Dual Blades Esperanza Edge Long Sword Esperanza Glaive Insect Glaive Esperanza Gunlance Gunlance Esperanza Hammer Hammer Esperanza Horn Hunting Horn Esperanza Lance Lance Esperanza Strongarm Charge Blade Esperanza Sword Sword and Shield G Glass Royale Hunting Horn Grinder Jewel II [2] Grinder Jewel [1] Grinder/Attack Jewel [3] Grinder/Draw Jewel [3] Grinder/Expert Jewel [3] Grinder/Handicraft Jwl [3] Grinder/Ironwall Jewel [3] Grinder/KO Jewel [3] H Hope Axe II Switch Axe Hope Axe III Switch Axe Hope Axe IV Switch Axe Hope Axe V Switch Axe Hope Blade II Great Sword Hope Blade III Great Sword Hope Blade IV Great Sword Hope Blade V Great Sword Hope Daggers II Dual Blades Hope Daggers III Dual Blades Hope Daggers IV Dual Blades Hope Daggers V Dual Blades Hope Edge II Long Sword Hope Edge III Long Sword Hope Edge IV Long Sword Hope Edge V Long Sword Hope Glaive II Insect Glaive Hope Glaive III Insect Glaive Hope Glaive IV Insect Glaive Hope Glaive V Insect Glaive Hope Gunlance II Gunlance Hope Gunlance III Gunlance Hope Gunlance IV Gunlance Hope Gunlance V Gunlance Hope Hammer II Hammer Hope Hammer III Hammer Hope Hammer IV Hammer Hope Hammer V Hammer Hope Horn II Hunting Horn Hope Horn III Hunting Horn Hope Horn IV Hunting Horn Hope Horn V Hunting Horn Hope Lance II Lance Hope Lance III Lance Hope Lance IV Lance Hope Lance V Lance Hope Strongarm II Charge Blade Hope Strongarm III Charge Blade Hope Strongarm IV Charge Blade Hope Strongarm V Charge Blade Hope Sword II Sword and Shield Hope Sword III Sword and Shield Hope Sword IV Sword and Shield Hope Sword V Sword and Shield N Nu Krake I Great Sword Nu Krake II Great Sword Nu Pulpo I Hammer Nu Pulpo II Hammer P Paretic Blade I Great Sword Paretic Blade II Great Sword Paretic Blade III Great Sword Paretic Blade IV Great Sword S Sonic Horn II Hunting Horn Sonic Horn III Hunting Horn Sonic Horn IV Hunting Horn W War Bongo II Hunting Horn War Conga Hunting Horn"
"Spread/Power Shots","1","Slightly increases the power of specified ammo and arrows.","","","","","","","Spread Jewel [3]"
"Stamina Surge","3","Stamina recovery speed +10%","Stamina recovery speed +30%","Stamina recovery speed +50%","","","","","Balahara Mail α Balahara Vambraces α Balahara α Battle Helm α Battle α Dober Helm α Dober Vambraces α Dober α Doshaguma Braces α Doshaguma Braces β Doshaguma Mail α Doshaguma α Doshaguma β G. Fulgur Coil α G. Fulgur Coil β G. Fulgur Greaves α G. Fulgur Greaves β Guardian Fulgur α Guardian Fulgur β Gypceros Coil α Gypceros Coil β Gypceros Helm α Gypceros Helm β Gypceros Mail α Gypceros Mail β Gypceros α Gypceros β Refresh Jewel [2] Rey Dau α Rey Dau β Rey Sandcoil α Rey Sandcoil β Rey Sandmail α Rey Sandmail β Surge Charm I Surge Charm II Surge Charm III Xu Wu Xu Wu Coil Xu Wu Greaves Xu Wu Mail"
"Stamina Thief","3","Exhaust power +20%","Exhaust power +30%","Exhaust power +40%","","","","","Binder Mace Hammer Bone Horn I Hunting Horn Bone Horn II Hunting Horn Bone Horn III Hunting Horn Bone Horn IV Hunting Horn Bone Kukri I Sword and Shield Bone Kukri II Sword and Shield Bone Kukri III Sword and Shield Bone Kukri IV Sword and Shield Chata Clobberer II Hammer Chata Clobberer III Hammer Chata Clobberer IV Hammer Chief Kukri Sword and Shield Dosha Fearbringer I Bow Dosha Fearbringer II Bow Dosha Fearbringer III Bow Dosha Grudgesounder I Hunting Horn Dosha Grudgesounder II Hunting Horn Drain Jewel II [2] Drain Jewel III [3] Drain Jewel [1] Fearbringer Callistox Bow Grudgesounder Urga Hunting Horn Hardened Bone Horn Hunting Horn Jail Hammer I Hammer Jail Hammer II Hammer Jail Hammer III Hammer Jail Hammer IV Hammer Kae-Jin's Lament Hunting Horn Kut-Ku Cantabile Hunting Horn Kut-Ku's Song I Hunting Horn Kut-Ku's Song II Hunting Horn Nihil Chord I Hunting Horn Nihil Chord II Hunting Horn Perun Clairhorn Hunting Horn Rey Perun I Hunting Horn Rey Perun II Hunting Horn Rey Perun III Hunting Horn Shrouded Aghaturi Hammer"
"Stench Resistance","2","Reduces stench duration by 50%.","Prevents stench.","","","","","","Conga Conga Coil Conga Vambraces Perfume Jewel [1]"
"Stun Resistance","3","Reduces the duration of stun by 30%.","Reduces the duration of stun by 60%.","Prevents stun.","","","","","Bone Bone Greaves Bone Greaves α Bone Helm α Bone Mail α Bone Vambraces Bone α Death Stench Heel α Death Stench α Doshaguma Braces α Doshaguma Braces β Doshaguma Helm α Doshaguma Helm β Doshaguma α Doshaguma β High Metal Helm α High Metal α Hope Hope Coil Hope Coil α Hope Greaves α Hope Mask Hope α Ingot Ingot Vambraces Ingot Vambraces α Ingot α Rey Dau α Rey Dau β Rey Sandbraces α Rey Sandcoil α Rey Sandcoil β Steadfast Jewel [1] Stun Charm I Stun Charm II Stun Charm III"
"Survival Expert","3","Restores 50 health.","Restores 80 health.","Restores 100 health.","","","","","G. Rathalos Helm α G. Rathalos Vambraces α Guardian Rathalos α Melahoa Hat α Melahoa α Survival Charm I Survival Charm II Survival Charm III Survival Jewel [1] Vespoid Vespoid Greaves Vespoid Greaves α Vespoid Greaves β Vespoid Helm Vespoid Helm α Vespoid Helm β Vespoid Mail Vespoid Mail α Vespoid Mail β Vespoid α Vespoid β"
"Swimmer Meal","","Increases attack when wet.","","","","","","",""
"Tetrad Shot","3","Slightly increases the attack power and affinity of ammo after…","Moderately increases attack power and affinity of ammo after…","Increases the attack power and affinity of ammo after certain…","","","","","A Aeternal Palamedes Heavy Bowgun B Bandolier Jewel II [2] Bandolier Jewel III [3] Bandolier Jewel [1] Bandolier/Blaze Jwl [3] Bandolier/Bolt Jwl [3] Bandolier/Dragon Jwl [3] Bandolier/Frost Jwl [3] Bandolier/Ironwall Jwl [3] Bandolier/Precise Jwl [3] Bandolier/Stream Jwl [3] Bequeathed Animus Light Bowgun Blan Sharanga I Bow C Chain Blitz I Light Bowgun Chain Blitz II Light Bowgun Chain Blitz III Light Bowgun Chthonian Gunfire I Light Bowgun Chthonian Gunfire II Light Bowgun D Dalgap-of-the-Waves Heavy Bowgun Dragon Perforator I Bow Dragon Perforator II Bow Dragon Perforator III Bow G G. Aeternal Palamedes Heavy Bowgun G. Veldian Tormentum I Heavy Bowgun G. Veldian Tormentum II Heavy Bowgun H High Chain Blitz Light Bowgun I Iron Assault I Heavy Bowgun Iron Assault II Heavy Bowgun Iron Assault III Heavy Bowgun K Khviluk-of-the-Waves Bow Q Queen Blaster I Bow Queen Blaster II Bow Queen's Farflier Heavy Bowgun Queen's Longfire I Heavy Bowgun Queen's Longfire II Heavy Bowgun Queen's Melody Bow S Singha Sharanga Bow Steel Assault Heavy Bowgun T True Dragon Perforator Bow U Uth Dalgap I Heavy Bowgun Uth Dalgap II Heavy Bowgun Uth Dalgap III Heavy Bowgun Uth Khviluk I Bow Uth Khviluk II Bow Uth Khviluk III Bow V Valkyrie Fire I Light Bowgun Valkyrie Fire II Light Bowgun Valkyrie Flame Light Bowgun Veldian Tormentum I Heavy Bowgun W Windshear Light I Light Bowgun Windshear Light II Light Bowgun Windshear Light III Light Bowgun Windshear Uchibami Light Bowgun"
"Thunder Attack","3","Thunder attack +40","Thunder attack +10% Bonus: +50","Thunder attack +20% Bonus: +60","","","","","Bolt Jewel II [2] Bolt Jewel III [3] Bolt Jewel [1] Bolt/Bandolier Jwl [3] Bolt/Crit Elem Jwl [3] Bolt/Enhancer Jwl [3] Bolt/Focus Jewel [3] Bolt/Guardian Jwl [3] Bolt/Handicraft Jwl [3] Bolt/Ironwall Jewel [3] Bolt/KO Jewel [3] Bolt/Opener Jewel [3] Bolt/Precise Jewel [3] Bolt/Quickswitch Jwl [3] Bolt/Rzr Sharp Jwl [3] Bolt/Shield Jewel [3]"
"","","","","","","","","",""
"Thunder Resistance","3","Thunder resistance +6","Thunder resistance +12","Thunder resistance +20 Defense +10","","","","","Thunder Charm I Thunder Charm II Thunder Charm III Thunder Res Jewel [1]"
"Tool Specialist","5","Shortens recharge time by 10%.","Shortens recharge time by 20%.","Shortens recharge time by 30%.","Shortens recharge time by 40%.","Shortens recharge time by 50%.","","","Commission Coil α Commission α Duna Coil Duna Helm Duna Vambraces Duna Wildgreaves α Duna Wildhelm α Duna Wildhelm β Duna Wildmail α Duna Wildmail β Maintenance Charm I Maintenance Charm II Maintenance Charm III Maintenance Jewel [2] Melahoa Jacket α Melahoa α Rathian Coil α Rathian α Uth Duna Uth Duna α Uth Duna β"
"Top Cat Meal","","","","","","","","",""
"Trainer Meal","","","","","","","","",""
"Tremor Resistance","3","Nullifies very minor ground tremors and halves effects of minor…","Nullifies up to minor ground tremors and greatly reduces the…","Nullifies all ground tremors.","","","","","Alloy Alloy Coil Alloy Coil α Alloy Mail Alloy Vambraces Alloy Vambraces α Alloy α Artian Greaves α Artian α Dahaad Shardcoil α Dahaad Shardcoil β Dahaad Shardgreaves α Dahaad α Dahaad β Footing Jewel [1] Gravios Greaves α Gravios Greaves β Gravios Helm α Gravios α Gravios β Tremor Charm I Tremor Charm II Tremor Charm III"
"Tumbler Meal (Hi)","","Extends the invulnerability period when evading.","","","","","","",""
"Tumbler Meal (Lo)","","Slightly extends the invulnerability period when evading.","","","","","","",""
"Uth Duna's Cover","2","Increases defense temporarily when using a specialized tool.…","Greatly increases defense and resistance temporarily when using…","","","","","","Duna Coil Duna Greaves Duna Helm Duna Mail Duna Vambraces Duna Wildbraces α Duna Wildbraces β Duna Wildcoil α Duna Wildcoil β Duna Wildgreaves α Duna Wildgreaves β Duna Wildhelm α Duna Wildhelm β Duna Wildmail α Duna Wildmail β Uth Duna Uth Duna α Uth Duna β"
"Water Attack","3","Water attack +40","Water attack +10% Bonus: +50","Water attack +20% Bonus: +60","","","","","Stream Jewel II [2] Stream Jewel III [3] Stream Jewel [1] Stream/Bandolier Jwl [3] Stream/Crit Elem Jwl [3] Stream/Enhancer Jwl [3] Stream/Focus Jewel [3] Stream/Guardian Jwl [3] Stream/Handicraft Jwl [3] Stream/Ironwall Jwl [3] Stream/KO Jewel [3] Stream/Opener Jwl [3] Stream/Precise Jewel [3] Stream/Quickswitch Jwl [3] Stream/Rzr Sharp Jwl [3] Stream/Shield Jewel [3]"
"Water Resistance","3","Water resistance +6","Water resistance +12","Water resistance +20 Defense +10","","","","","Gajau Gajau Boots Gajau Boots α Gajau α Piragill Piragill Greaves Piragill Greaves α Piragill α Water Charm I Water Charm II Water Charm III Water Res Jewel [1]"
