"Icon","Title","Description","How to Obtain","Defensive Stats","Skills","Forging Materials","Unlock Requirements","Alternative Appearance","Armor Set","Rarity","Price","Slot Level 1","Slot Level 2","Slot Level 3","Skill Details"
"","Quematrice Mail","Quematrice chest armor. The design may look ceremonial, but it…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Fire Resistance Equipment Skills","1× Quematrice Igniter Equipment Materials 1× Quematrice Crest Equipment Materials 1× Quematrice Tail Equipment Materials","Quematrice Large Monsters","","Quematrice Large Monsters","Rarity 1","200 z","","","","Scaling Prowess Lv1;Fire Resistance Lv1"
"","Quematrice Mail α","Quematrice chest armor. The design may look ceremonial, but it…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Fire Resistance Equipment Skills Latent Power Equipment Skills","1× Quematrice Certificate S Equipment Materials 1× Quematrice Crest+ Equipment Materials 1× Quematrice Tail Equipment Materials 1× Firestone Equipment Materials","Lured by Abundance Assignments","","Quematrice α Armor Sets","Rarity 5","3,000 z","","","","Scaling Prowess Lv1;Fire Resistance Lv1;Latent Power Lv1"
"","Quematrice Mail β","Quematrice chest armor. The design may look ceremonial, but it…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scale Layering Group Skills Latent Power Equipment Skills","1× Quematrice Certificate S Equipment Materials 1× Quematrice Crest+ Equipment Materials 1× Quematrice Tail Equipment Materials 1× Firestone Equipment Materials","Lured by Abundance Assignments","","Quematrice β Armor Sets","Rarity 5","3,000 z","1 "" /> 1","","","Scale Layering Lv1;Latent Power Lv1"
"","Rathalos Coil α","Crafted from Rathalos parts, this waistgear has the wearer appear…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Scaling Prowess Group Skills Adrenaline Rush Equipment Skills Evade Window Equipment Skills","2× Rathalos Certificate S Equipment Materials 3× Rathalos Carapace Equipment Materials 1× Rath Medulla Equipment Materials 2× Firestone Equipment Materials","Rathalos Large Monsters","","Rathalos α Armor Sets","Rarity 6","5,000 z","","","","Rathalos's Flare Lv1;Scaling Prowess Lv1;Adrenaline Rush Lv2;Evade Window Lv1"
"","Rathalos Coil β","Crafted from Rathalos parts, this waistgear has the wearer appear…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Scale Layering Group Skills Adrenaline Rush Equipment Skills","2× Rathalos Certificate S Equipment Materials 3× Rathalos Carapace Equipment Materials 1× Rath Medulla Equipment Materials 2× Firestone Equipment Materials","Rathalos Large Monsters","","Rathalos β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Rathalos's Flare Lv1;Scale Layering Lv1;Adrenaline Rush Lv2"
"","Rathalos Greaves α","Sturdy and supple, this Rathalos leg armor makes one as nimble…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Scaling Prowess Group Skills Evade Window Equipment Skills Adrenaline Rush Equipment Skills","1× Rathalos Certificate S Equipment Materials 5× Rathalos Carapace Equipment Materials 4× Rathalos Wing Equipment Materials 2× Wingdrake Hide+ Equipment Materials","Rathalos Large Monsters","","Rathalos α Armor Sets","Rarity 6","5,000 z","2 "" /> 2","","","Rathalos's Flare Lv1;Scaling Prowess Lv1;Evade Window Lv2;Adrenaline Rush Lv1"
"","Rathalos Greaves β","Sturdy and supple, this Rathalos leg armor makes one as nimble…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Scale Layering Group Skills Evade Window Equipment Skills","1× Rathalos Certificate S Equipment Materials 5× Rathalos Carapace Equipment Materials 4× Rathalos Wing Equipment Materials 2× Wingdrake Hide+ Equipment Materials","Rathalos Large Monsters","","Rathalos β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","2 "" /> 2","1 "" /> 1","Rathalos's Flare Lv1;Scale Layering Lv1;Evade Window Lv2"
"","Rathalos Helm α","Head armor crafted from Rathalos parts. Equivalent to a king’s…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Scaling Prowess Group Skills Evade Window Equipment Skills Constitution Equipment Skills","5× Rathalos Scale+ Equipment Materials 3× Rathalos Wing Equipment Materials 3× Monster Keenbone Equipment Materials","Rathalos Large Monsters","","Rathalos α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","1 "" /> 1","","Rathalos's Flare Lv1;Scaling Prowess Lv1;Evade Window Lv2;Constitution Lv1"
"","Rathalos Helm β","Head armor crafted from Rathalos parts. Equivalent to a king’s…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Scale Layering Group Skills Evade Window Equipment Skills Constitution Equipment Skills","5× Rathalos Scale+ Equipment Materials 3× Rathalos Wing Equipment Materials 3× Monster Keenbone Equipment Materials","Rathalos Large Monsters","","Rathalos β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","2 "" /> 2","","Rathalos's Flare Lv1;Scale Layering Lv1;Evade Window Lv1;Constitution Lv1"
"","Rathalos Mail α","Chest armor made of Rathalos parts. Carved from the King of the…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Scaling Prowess Group Skills Adrenaline Rush Equipment Skills Constitution Equipment Skills","6× Rathalos Scale+ Equipment Materials 6× Rathalos Carapace Equipment Materials 2× Rathalos Tail Equipment Materials 1× Dragonbone Relic Equipment Materials","Rathalos Large Monsters","","Rathalos α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","","","Rathalos's Flare Lv1;Scaling Prowess Lv1;Adrenaline Rush Lv2;Constitution Lv1"
"","Rathalos Mail β","Chest armor made of Rathalos parts. Carved from the King of the…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Scale Layering Group Skills Adrenaline Rush Equipment Skills","6× Rathalos Scale+ Equipment Materials 6× Rathalos Carapace Equipment Materials 2× Rathalos Tail Equipment Materials 1× Dragonbone Relic Equipment Materials","Rathalos Large Monsters","","Rathalos β Armor Sets","Rarity 6","5,000 z","1 "" /> 1","1 "" /> 1","","Rathalos's Flare Lv1;Scale Layering Lv1;Adrenaline Rush Lv2"
"","Rathalos Vambraces α","Crafted from Rathalos parts. These armguards deliver sundering…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Scaling Prowess Group Skills Constitution Equipment Skills Evade Window Equipment Skills","1× Rathalos Certificate S Equipment Materials 4× Rathalos Scale+ Equipment Materials 1× Rathalos Ruby Equipment Materials 3× Inferno Sac Equipment Materials","Rathalos Large Monsters","","Rathalos α Armor Sets","Rarity 6","5,000 z","1 "" /> 1","1 "" /> 1","","Rathalos's Flare Lv1;Scaling Prowess Lv1;Constitution Lv2;Evade Window Lv1"
"","Rathalos Vambraces β","Crafted from Rathalos parts. These armguards deliver sundering…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rathalos's Flare Set Bonus Skills Scale Layering Group Skills Constitution Equipment Skills","1× Rathalos Certificate S Equipment Materials 4× Rathalos Scale+ Equipment Materials 1× Rathalos Ruby Equipment Materials 3× Inferno Sac Equipment Materials","Rathalos Large Monsters","","Rathalos β Armor Sets","Rarity 6","5,000 z","2 "" /> 2","1 "" /> 1","1 "" /> 1","Rathalos's Flare Lv1;Scale Layering Lv1;Constitution Lv2"
"","Rathian Coil α","Resplendent with judicious light, this Rathian waistgear strikes…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Foray Equipment Skills Tool Specialist Equipment Skills","1× Rathian Certificate S Equipment Materials 1× Rathian Carapace Equipment Materials 1× Rath Medulla Equipment Materials","Rathian Scale+ Equipment Materials","","Rathian α Armor Sets","Rarity 5","3,500 z","","","","Scaling Prowess Lv1;Foray Lv1;Tool Specialist Lv1"
"","Rathian Coil β","Resplendent with judicious light, this Rathian waistgear strikes…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scale Layering Group Skills Foray Equipment Skills","1× Rathian Certificate S Equipment Materials 1× Rathian Carapace Equipment Materials 1× Rath Medulla Equipment Materials","Rathian Scale+ Equipment Materials","","Rathian β Armor Sets","Rarity 5","3,500 z","2 "" /> 2","","","Scale Layering Lv1;Foray Lv1"
"","","","","","","","","","","","","","","",""
"","Rathian Greaves α","Imbued with the Queen of the Land’s strength, this Rathian leg…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Foray Equipment Skills Recovery Speed Equipment Skills","1× Rathian Certificate S Equipment Materials 2× Rathian Carapace Equipment Materials 2× Rathian Webbing Equipment Materials 1× Dragonbone Relic Equipment Materials","Rathian Scale+ Equipment Materials","","Rathian α Armor Sets","Rarity 5","3,500 z","","","","Scaling Prowess Lv1;Foray Lv1;Recovery Speed Lv2"
"","Rathian Greaves β","Imbued with the Queen of the Land’s strength, this Rathian leg…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scale Layering Group Skills Foray Equipment Skills Recovery Speed Equipment Skills","1× Rathian Certificate S Equipment Materials 2× Rathian Carapace Equipment Materials 2× Rathian Webbing Equipment Materials 1× Dragonbone Relic Equipment Materials","Rathian Scale+ Equipment Materials","","Rathian β Armor Sets","Rarity 5","3,500 z","1 "" /> 1","","","Scale Layering Lv1;Foray Lv1;Recovery Speed Lv1"
"","Rathian Helm α","Replete with queenly refinement, grace, and might, this sleek…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Divine Blessing Equipment Skills Recovery Speed Equipment Skills","2× Rathian Scale+ Equipment Materials 2× Rathian Webbing Equipment Materials 2× Monster Keenbone Equipment Materials","Rathian Scale+ Equipment Materials","","Rathian α Armor Sets","Rarity 5","3,500 z","2 "" /> 2","","","Scaling Prowess Lv1;Divine Blessing Lv1;Recovery Speed Lv1"
"","Rathian Helm β","Replete with queenly refinement, grace, and might, this sleek…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scale Layering Group Skills Divine Blessing Equipment Skills","2× Rathian Scale+ Equipment Materials 2× Rathian Webbing Equipment Materials 2× Monster Keenbone Equipment Materials","Rathian Scale+ Equipment Materials","","Rathian β Armor Sets","Rarity 5","3,500 z","2 "" /> 2","1 "" /> 1","","Scale Layering Lv1;Divine Blessing Lv1"
"","Rathian Mail α","Worthy of the Queen of the Land’s name, common metals cannot…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Foray Equipment Skills","1× Rathian Certificate S Equipment Materials 2× Rathian Scale+ Equipment Materials 1× Rathian Ruby Equipment Materials","Rathian Scale+ Equipment Materials","","Rathian α Armor Sets","Rarity 5","3,500 z","","","","Scaling Prowess Lv1;Foray Lv2"
"","Rathian Mail β","Worthy of the Queen of the Land’s name, common metals cannot…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scale Layering Group Skills Foray Equipment Skills","1× Rathian Certificate S Equipment Materials 2× Rathian Scale+ Equipment Materials 1× Rathian Ruby Equipment Materials","Rathian Scale+ Equipment Materials","","Rathian β Armor Sets","Rarity 5","3,500 z","1 "" /> 1","1 "" /> 1","1 "" /> 1","Scale Layering Lv1;Foray Lv1"
"","Rathian Vambraces α","The green scales gracing these Rathian armguards show their true…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scaling Prowess Group Skills Foray Equipment Skills Divine Blessing Equipment Skills","3× Rathian Scale+ Equipment Materials 3× Rathian Carapace Equipment Materials 2× Rathian Spike+ Equipment Materials 2× Toxin Sac Equipment Materials","Rathian Scale+ Equipment Materials","","Rathian α Armor Sets","Rarity 5","3,500 z","","","","Scaling Prowess Lv1;Foray Lv1;Divine Blessing Lv2"
"","Rathian Vambraces β","The green scales gracing these Rathian armguards show their true…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Scale Layering Group Skills Foray Equipment Skills Divine Blessing Equipment Skills","3× Rathian Scale+ Equipment Materials 3× Rathian Carapace Equipment Materials 2× Rathian Spike+ Equipment Materials 2× Toxin Sac Equipment Materials","Rathian Scale+ Equipment Materials","","Rathian β Armor Sets","Rarity 5","3,500 z","1 "" /> 1","","","Scale Layering Lv1;Foray Lv1;Divine Blessing Lv1"
"","Rey Sandbraces","Rey Dau armguards. A lingering charge gives the wearer a grip…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Favor Group Skills Latent Power Equipment Skills","1× Rey Dau Wingtalon Equipment Materials 1× Rey Dau Thunderhorn Equipment Materials 1× Rey Dau Tail Equipment Materials 1× Guardian Scale Equipment Materials","Repel the Guardian Arkveld Assignments","","Rey Dau Large Monsters","Rarity 4","1,000 z","1 "" /> 1","","","Rey Dau's Voltage Lv1;Lord's Favor Lv1;Latent Power Lv1"
"","Rey Sandbraces α","Rey Dau armguards. A lingering charge gives the wearer a grip…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Favor Group Skills Latent Power Equipment Skills Stun Resistance Equipment Skills","1× Rey Dau Certificate S Equipment Materials 2× Rey Dau Fulgurtalon Equipment Materials 3× Rey Dau Scale+ Equipment Materials 1× Rey Dau Boltgem Equipment Materials","Rey Dau Scale+ Equipment Materials","","Rey Dau α Armor Sets","Rarity 7","7,000 z","2 "" /> 2","","","Rey Dau's Voltage Lv1;Lord's Favor Lv1;Latent Power Lv2;Stun Resistance Lv1"
"","Rey Sandbraces β","Rey Dau armguards. A lingering charge gives the wearer a grip…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Fury Group Skills Latent Power Equipment Skills","1× Rey Dau Certificate S Equipment Materials 2× Rey Dau Fulgurtalon Equipment Materials 3× Rey Dau Scale+ Equipment Materials 1× Rey Dau Boltgem Equipment Materials","Rey Dau Scale+ Equipment Materials","","Rey Dau β Armor Sets","Rarity 7","7,000 z","3 "" /> 3","","","Rey Dau's Voltage Lv1;Lord's Fury Lv1;Latent Power Lv2"
"","Rey Sandcoil","Rey Dau waistgear. The faintly glowing buckle inspires awe and…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Favor Group Skills Constitution Equipment Skills","2× Rey Dau Shell Equipment Materials 1× Rey Dau Thunderhorn Equipment Materials 1× Guardian Pelt Equipment Materials 1× Wingdrake Hide Equipment Materials","Repel the Guardian Arkveld Assignments","","Rey Dau Large Monsters","Rarity 4","1,000 z","1 "" /> 1","","","Rey Dau's Voltage Lv1;Lord's Favor Lv1;Constitution Lv1"
"","","","","","","","","","","","","","","",""
"","Rey Sandcoil α","Rey Dau waistgear. The faintly glowing buckle inspires awe and…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Favor Group Skills Stamina Surge Equipment Skills Stun Resistance Equipment Skills","5× Rey Dau Scale+ Equipment Materials 6× Rey Dau Carapace Equipment Materials 3× Rey Dau Fulgurtalon Equipment Materials 3× Monster Hardbone Equipment Materials","Rey Dau Scale+ Equipment Materials","","Rey Dau α Armor Sets","Rarity 7","7,000 z","2 "" /> 2","","","Rey Dau's Voltage Lv1;Lord's Favor Lv1;Stamina Surge Lv2;Stun Resistance Lv2"
"","Rey Sandcoil β","Rey Dau waistgear. The faintly glowing buckle inspires awe and…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Fury Group Skills Stamina Surge Equipment Skills Stun Resistance Equipment Skills","5× Rey Dau Scale+ Equipment Materials 6× Rey Dau Carapace Equipment Materials 3× Rey Dau Fulgurtalon Equipment Materials 3× Monster Hardbone Equipment Materials","Rey Dau Scale+ Equipment Materials","","Rey Dau β Armor Sets","Rarity 7","7,000 z","3 "" /> 3","1 "" /> 1","","Rey Dau's Voltage Lv1;Lord's Fury Lv1;Stamina Surge Lv1;Stun Resistance Lv2"
"","Rey Sandgreaves","Rey Dau leg armor. A layer of latent electricity cushions blows…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Favor Group Skills Latent Power Equipment Skills Constitution Equipment Skills","1× Rey Dau Certificate Equipment Materials 1× Rey Dau Tail Equipment Materials 1× Rey Dau Plate Equipment Materials 1× Guardian Blood Equipment Materials","Repel the Guardian Arkveld Assignments","","Rey Dau Large Monsters","Rarity 4","1,000 z","","","","Rey Dau's Voltage Lv1;Lord's Favor Lv1;Latent Power Lv1;Constitution Lv1"
"","Rey Sandgreaves α","Rey Dau leg armor. A layer of latent electricity cushions blows…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Favor Group Skills Latent Power Equipment Skills Maximum Might Equipment Skills","6× Rey Dau Scale+ Equipment Materials 4× Rey Dau Fulgurtalon Equipment Materials 3× Rey Dau Bolthorn Equipment Materials 3× Lightcrystal Equipment Materials","Rey Dau Scale+ Equipment Materials","","Rey Dau α Armor Sets","Rarity 7","7,000 z","3 "" /> 3","","","Rey Dau's Voltage Lv1;Lord's Favor Lv1;Latent Power Lv1;Maximum Might Lv1"
"","Rey Sandgreaves β","Rey Dau leg armor. A layer of latent electricity cushions blows…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Fury Group Skills Latent Power Equipment Skills","6× Rey Dau Scale+ Equipment Materials 4× Rey Dau Fulgurtalon Equipment Materials 3× Rey Dau Bolthorn Equipment Materials 3× Lightcrystal Equipment Materials","Rey Dau Scale+ Equipment Materials","","Rey Dau β Armor Sets","Rarity 7","7,000 z","3 "" /> 3","1 "" /> 1","1 "" /> 1","Rey Dau's Voltage Lv1;Lord's Fury Lv1;Latent Power Lv1"
"","Rey Sandhelm","Rey Dau head armor. Its crest reaches the heavens—proof that…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Favor Group Skills Latent Power Equipment Skills","2× Rey Dau Scale Equipment Materials 2× Rey Dau Shell Equipment Materials 1× Rey Dau Thunderhorn Equipment Materials","Rey Dau Large Monsters","","Rey Dau Large Monsters","Rarity 4","1,000 z","","","","Rey Dau's Voltage Lv1;Lord's Favor Lv1;Latent Power Lv1"
"","Rey Sandhelm α","Rey Dau head armor. Its crest reaches the heavens—proof that…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Favor Group Skills Latent Power Equipment Skills Evade Extender Equipment Skills","2× Rey Dau Certificate S Equipment Materials 5× Rey Dau Carapace Equipment Materials 4× Rey Dau Bolthorn Equipment Materials 2× Bulaqchi Carapace Equipment Materials","Rey Dau Scale+ Equipment Materials","","Rey Dau α Armor Sets","Rarity 7","7,000 z","","","","Rey Dau's Voltage Lv1;Lord's Favor Lv1;Latent Power Lv2;Evade Extender Lv1"
"","Rey Sandhelm β","Rey Dau head armor. Its crest reaches the heavens—proof that…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Fury Group Skills Latent Power Equipment Skills Evade Extender Equipment Skills","2× Rey Dau Certificate S Equipment Materials 5× Rey Dau Carapace Equipment Materials 4× Rey Dau Bolthorn Equipment Materials 2× Bulaqchi Carapace Equipment Materials","Rey Dau Scale+ Equipment Materials","","Rey Dau β Armor Sets","Rarity 7","7,000 z","3 "" /> 3","","","Rey Dau's Voltage Lv1;Lord's Fury Lv1;Latent Power Lv1;Evade Extender Lv1"
"","Rey Sandmail","Rey Dau chest armor. Its carapace has been meticulously paneled…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Favor Group Skills Constitution Equipment Skills","2× Rey Dau Scale Equipment Materials 1× Rey Dau Wingtalon Equipment Materials","Rey Dau Large Monsters","","Rey Dau Large Monsters","Rarity 4","1,000 z","","","","Rey Dau's Voltage Lv1;Lord's Favor Lv1;Constitution Lv1"
"","Rey Sandmail α","Rey Dau chest armor. Its carapace has been meticulously paneled…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Favor Group Skills Maximum Might Equipment Skills Stamina Surge Equipment Skills","2× Rey Dau Certificate S Equipment Materials 2× Rey Dau Bolthorn Equipment Materials 2× Rey Dau Tail Equipment Materials 1× Rey Dau Plate Equipment Materials","Rey Dau Scale+ Equipment Materials","","Rey Dau α Armor Sets","Rarity 7","7,000 z","1 "" /> 1","1 "" /> 1","","Rey Dau's Voltage Lv1;Lord's Favor Lv1;Maximum Might Lv2;Stamina Surge Lv1"
"","Rey Sandmail β","Rey Dau chest armor. Its carapace has been meticulously paneled…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Rey Dau's Voltage Set Bonus Skills Lord's Fury Group Skills Maximum Might Equipment Skills Stamina Surge Equipment Skills","2× Rey Dau Certificate S Equipment Materials 2× Rey Dau Bolthorn Equipment Materials 2× Rey Dau Tail Equipment Materials 1× Rey Dau Plate Equipment Materials","Rey Dau Scale+ Equipment Materials","","Rey Dau β Armor Sets","Rarity 7","7,000 z","2 "" /> 2","1 "" /> 1","1 "" /> 1","Rey Dau's Voltage Lv1;Lord's Fury Lv1;Maximum Might Lv1;Stamina Surge Lv1"
"","Rompopolo Coil","Rompopolo waistgear fully equipped with instruments needed to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Flexible Leathercraft Group Skills Wide-Range Equipment Skills Poison Resistance Equipment Skills","1× Rompopolo Certificate Equipment Materials 2× Rompopolo Hide Equipment Materials 1× Spotted Poison Hide Equipment Materials 1× Dragonite Ore Equipment Materials","Rompopolo Large Monsters","","Rompopolo Large Monsters","Rarity 3","500 z","","","","Flexible Leathercraft Lv1;Wide-Range Lv1;Poison Resistance Lv1"
"","","","","","","","","","","","","","","",""
"","Rompopolo Coil α","Rompopolo waistgear fully equipped with instruments needed to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Flexible Leathercraft Group Skills Wide-Range Equipment Skills Foray Equipment Skills","1× Rompopolo Certificate S Equipment Materials 2× Rompopolo Hide+ Equipment Materials 2× Spotted Poison Hide+ Equipment Materials 1× Kranodath Skull+ Equipment Materials","Lured by Abundance Assignments","","Rompopolo α Armor Sets","Rarity 5","3,000 z","","","","Flexible Leathercraft Lv1;Wide-Range Lv1;Foray Lv1"
"","Rompopolo Coil β","Rompopolo waistgear fully equipped with instruments needed to…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Buttery Leathercraft Group Skills Foray Equipment Skills","1× Rompopolo Certificate S Equipment Materials 2× Rompopolo Hide+ Equipment Materials 2× Spotted Poison Hide+ Equipment Materials 1× Kranodath Skull+ Equipment Materials","Lured by Abundance Assignments","","Rompopolo β Armor Sets","Rarity 5","3,000 z","1 "" /> 1","","","Buttery Leathercraft Lv1;Foray Lv1"
"","Rompopolo Greaves","Rompopolo leg armor. Careful you don’t accidentally lean on those…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Flexible Leathercraft Group Skills Wide-Range Equipment Skills","2× Rompopolo Claw Equipment Materials 1× Rompopolo Beak Equipment Materials","Rompopolo Large Monsters","","Rompopolo Large Monsters","Rarity 3","500 z","","","","Flexible Leathercraft Lv1;Wide-Range Lv1"
"","Rompopolo Greaves α","Rompopolo leg armor. Careful you don’t accidentally lean on those…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Flexible Leathercraft Group Skills Wide-Range Equipment Skills Earplugs Equipment Skills","1× Rompopolo Certificate S Equipment Materials 2× Rompopolo Beak+ Equipment Materials 1× Toxin Sac Equipment Materials","Lured by Abundance Assignments","","Rompopolo α Armor Sets","Rarity 5","3,000 z","","","","Flexible Leathercraft Lv1;Wide-Range Lv2;Earplugs Lv1"
"","Rompopolo Greaves β","Rompopolo leg armor. Careful you don’t accidentally lean on those…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Buttery Leathercraft Group Skills Wide-Range Equipment Skills","1× Rompopolo Certificate S Equipment Materials 2× Rompopolo Beak+ Equipment Materials 1× Toxin Sac Equipment Materials","Lured by Abundance Assignments","","Rompopolo β Armor Sets","Rarity 5","3,000 z","2 "" /> 2","","","Buttery Leathercraft Lv1;Wide-Range Lv2"
"","Rompopolo Helm","Rompopolo head armor. The mask is needed to ward off the material’s…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Flexible Leathercraft Group Skills Wide-Range Equipment Skills","2× Rompopolo Hide Equipment Materials 1× Rompopolo Claw Equipment Materials 1× Rompopolo Beak Equipment Materials","Rompopolo Large Monsters","","Rompopolo Large Monsters","Rarity 3","500 z","","","","Flexible Leathercraft Lv1;Wide-Range Lv1"
"","Rompopolo Helm α","Rompopolo head armor. The mask is needed to ward off the material’s…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Flexible Leathercraft Group Skills Wide-Range Equipment Skills","1× Rompopolo Certificate S Equipment Materials 3× Rompopolo Claw+ Equipment Materials 1× Rompopolo Beak+ Equipment Materials","Lured by Abundance Assignments","","Rompopolo α Armor Sets","Rarity 5","3,000 z","1 "" /> 1","1 "" /> 1","","Flexible Leathercraft Lv1;Wide-Range Lv2"
"","Rompopolo Helm β","Rompopolo head armor. The mask is needed to ward off the material’s…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Buttery Leathercraft Group Skills Wide-Range Equipment Skills","1× Rompopolo Certificate S Equipment Materials 3× Rompopolo Claw+ Equipment Materials 1× Rompopolo Beak+ Equipment Materials","Lured by Abundance Assignments","","Rompopolo β Armor Sets","Rarity 5","3,000 z","2 "" /> 2","1 "" /> 1","","Buttery Leathercraft Lv1;Wide-Range Lv1"
"","Rompopolo Mail","Well-padded Rompopolo chest armor. The fabric contains poison…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Flexible Leathercraft Group Skills Wide-Range Equipment Skills","2× Rompopolo Hide Equipment Materials 1× Spotted Poison Hide Equipment Materials","Rompopolo Large Monsters","","Rompopolo Large Monsters","Rarity 3","500 z","","","","Flexible Leathercraft Lv1;Wide-Range Lv1"
"","Rompopolo Mail α","Well-padded Rompopolo chest armor. The fabric contains poison…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Flexible Leathercraft Group Skills Poison Resistance Equipment Skills Wide-Range Equipment Skills","2× Rompopolo Hide+ Equipment Materials 2× Spotted Poison Hide+ Equipment Materials 1× Monster Keenbone Equipment Materials","Lured by Abundance Assignments","","Rompopolo α Armor Sets","Rarity 5","3,000 z","1 "" /> 1","","","Flexible Leathercraft Lv1;Poison Resistance Lv2;Wide-Range Lv1"
"","Rompopolo Mail β","Well-padded Rompopolo chest armor. The fabric contains poison…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Buttery Leathercraft Group Skills Poison Resistance Equipment Skills","2× Rompopolo Hide+ Equipment Materials 2× Spotted Poison Hide+ Equipment Materials 1× Monster Keenbone Equipment Materials","Lured by Abundance Assignments","","Rompopolo β Armor Sets","Rarity 5","3,000 z","2 "" /> 2","","","Buttery Leathercraft Lv1;Poison Resistance Lv2"
"","Rompopolo Vambraces","Rompopolo armguards. The poisonous needles in the claws are neat,…","","Defense Fire Resist Water Resist Thunder Resist Ice Resist…","Flexible Leathercraft Group Skills Wide-Range Equipment Skills Poison Resistance Equipment Skills","1× Spotted Poison Hide Equipment Materials 1× Rompopolo Beak Equipment Materials 1× Poison Sac Equipment Materials","Rompopolo Large Monsters","","Rompopolo Large Monsters","Rarity 3","500 z","","","","Flexible Leathercraft Lv1;Wide-Range Lv1;Poison Resistance Lv1"
"","","","","","","","","","","","","","","",""
