"Icon","Title","Description","Crafting Recipe","Where to Find","Other Info","Rewarded From","Used to Craft","Unlocks","Food Bonus","Food Skill","Rarity","Carry Max","Sell Price","Buy Price"
"","Firecell Stone","A magma-like deposit that only trained hands can handle. Armor…","","","","","Artian Coil α Waist Azuz Apron α Chest Blast Charm III Level 3 Bombardier Charm II Level 2 Damascus Greaves α Legs Defense Charm III Level 3 Evasion Charm II Level 2 Fire Charm III Level 3 Gravios Vambraces α Arms Gravios Vambraces β Arms Grit Charm II Level 2 Ingot Helm α Head Intimidator Charm III Level 3 Kranodath Mail α Chest Kranodath Mail β Chest Kut-Ku Mail α Chest Kut-Ku Mail β Chest Paladin Lance I Lance Tremor Charm III Level 3","","","","Rarity 7","99","1,720 z","17,200 z"
"","Fucium Ore","A mysterious metal found in the Ruins of Wyveria, capable of…","","","","","Athos's Armor α Body Athos's Hinge Blade α Weapons Athos's Scar α Head Babel Spear Lance Buster Sword III Great Sword Chain Blitz III Light Bowgun Chrome Drill III Lance Damascus Coil α Waist Damascus Greaves α Legs Damascus Helm α Head Damascus Mail α Chest Damascus Vambraces α Arms Dragon Perforator III Bow Dual Hatchets III Dual Blades Felyne Suja Frog α Head Felyne Suja Vest α Body Guild Ace Boots α Legs Guild Ace Coil α Waist Guild Ace Earrings α Head Guild Ace Mail α Chest Guild Ace Vambraces α Arms Guild Knight Sabers II Dual Blades Hope Axe V Switch Axe Hope Blade V Great Sword Hope Bow V Bow Hope Cannon V Heavy Bowgun Hope Daggers V Dual Blades Hope Edge V Long Sword Hope Glaive V Insect Glaive Hope Gunlance V Gunlance Hope Hammer V Hammer Hope Horn V Hunting Horn Hope Lance V Lance Hope Rifle V Light Bowgun Hope Strongarm V Charge Blade Hope Sword V Sword and Shield Hyperguard III Charge Blade Ingot Coil α Waist Ingot Greaves α Legs Ingot Helm α Head Ingot Mail α Chest Ingot Vambraces α Arms Iron Accelerator III Switch Axe Iron Assault III Heavy Bowgun Iron Beater III Sword and Shield Iron Gale III Insect Glaive Iron Hammer III Hammer Iron Katana III Long Sword Metal Bagpipe III Hunting Horn Suja Sash α Waist Triple Bayonet III Gunlance","","","","Rarity 6","99","1,020 z","10,200 z"
"","Icium","Precious metal from the Iceshard Cliffs. Shines bright white…","","","","","Buster Sword II Great Sword Chain Blitz II Light Bowgun Chainmail Gloves α Arms Chainmail Headgear α Head Chainmail Pants α Legs Chrome Drill II Lance Dragon Perforator II Bow Dual Hatchets II Dual Blades Evasion Charm I Level 1 Guild Knight Sabers I Dual Blades Hyperguard II Charge Blade Ice Charm II Level 2 Ingot Mail α Chest Iron Accelerator II Switch Axe Iron Assault II Heavy Bowgun Iron Beater II Sword and Shield Iron Gale II Insect Glaive Iron Hammer II Hammer Iron Katana II Long Sword Metal Bagpipe II Hunting Horn Triple Bayonet II Gunlance Water Charm II Level 2","","","","Rarity 4","99","500 z","5,000 z"
"","Guardian Fulgur Certificate S","A Guild certificate awarded to those who have hunted a Guardian…","","","","","Blinding Fulgur I Bow Crashing Fulgur I Hammer Deafening Fulgur I Hunting Horn Felling Fulgur I Light Bowgun G. Fulgur Coil α Waist G. Fulgur Coil β Waist G. Fulgur Helm α Head G. Fulgur Helm β Head G. Fulgur Mail α Chest G. Fulgur Mail β Chest Gnashing Fulgur I Long Sword Grounding Fulgur I Heavy Bowgun Morphing Fulgur I Switch Axe Rending Fulgur I Sword and Shield Rising Fulgur I Insect Glaive Smiting Fulgur I Great Sword Warring Fulgur I Gunlance Whirling Fulgur I Dual Blades","F Guardian Fulgur Helm α Head F Guardian Fulgur Mail α Body F Guardian Fulgur Maul α Weapons","","","Rarity 6","99","1,600 z","16,000 z"
"","Congalala Certificate S","A Guild certificate awarded to those who have hunted a Congalala.…","","","","","Assault Conga II Light Bowgun Conga Coil α Waist Conga Coil β Waist Conga Greaves α Legs Conga Greaves β Legs Conga Vambraces α Arms Conga Vambraces β Arms Golba Vandal II Switch Axe Pink Maracas II Dual Blades Power Stinger II Heavy Bowgun War Bongo II Hunting Horn Wild Power Bow II Bow","Felyne Conga Fete α Body Felyne Conga Head α Head Felyne Conga Tambourine α Weapons","","","Rarity 6","99","930 z","9,300 z"
,,,,,,,,,,,,,,
"","Charred Oilbone","A bone found in the Oilwell Basin. Covered in a thick coat of…","","","","","Ajarakan Helm α Head Ajarakan Helm β Head Azuz Headdress α Head Bone Greaves α Legs Bone Mail α Chest Botany Charm III Level 3 Dober Helm α Head Felyne Azuz Head α Head High Metal Braces α Arms High Metal Coil α Waist Kranodath Mail Chest Mushroom Charm I Level 1 Paralysis Charm II Level 2 Recovery Charm II Level 2 Udra Miregreaves Legs","","","","Rarity 4","99","400 z","4,000 z"
"","Frozen Icebone","A bone found in the Iceshard Cliffs. Tempered over millennia…","","","","","Battle Greaves α Legs Battle Helm α Head Battle Mail α Chest Battle Vambraces α Arms Bone Helm α Head Bone Vambraces α Arms Dober Coil α Waist Frozen Speartuna I Great Sword Hirabami Greaves Legs Hungerless Charm II Level 2 Sleep Charm II Level 2 Speed Heal Charm II Level 2","","","","Rarity 4","99","400 z","4,000 z"
"","Tough Guardian Bone","A bone found in the Ruins of Wyveria. Its peculiar shape is unique…","","","","","Bone Axe III Switch Axe Bone Blade III Great Sword Bone Bludgeon III Hammer Bone Coil α Waist Bone Gunlance III Gunlance Bone Hatchets III Dual Blades Bone Horn III Hunting Horn Bone Kukri III Sword and Shield Bone Lance III Lance Bone Shooter III Heavy Bowgun Bone Shotel III Long Sword Bone Staff III Insect Glaive Bone Strongarm III Charge Blade Dober Vambraces α Arms Dosha Faithbreaker II Light Bowgun Dosha Farsounder II Hunting Horn Dosha Fastflayers II Dual Blades Dosha Fatecleaver II Long Sword Dosha Fearbringer II Bow Dosha Fellslayer II Great Sword Dosha Fierceborer II Lance Dosha Fleshhacker II Switch Axe Felyne Bone Hammer α Weapons Felyne Bone Helm α Head Felyne Bone Mail α Body G. Arkveld Mail Chest G. Ebony Greaves α Legs G. Ebony Greaves β Legs G. Seikret Coil Waist G. Seikret Coil α Waist G. Seikret Coil β Waist G. Veldian Arcum I Bow G. Veldian Ensis I Long Sword G. Veldian Gladius I Great Sword G. Veldian Harpes I Dual Blades G. Veldian Hasta I Gunlance G. Veldian Impetum I Light Bowgun G. Veldian Labrys I Charge Blade G. Veldian Lancea I Lance G. Veldian Malleus I Hammer G. Veldian Mucro I Sword and Shield G. Veldian Securis I Switch Axe G. Veldian Sibilus I Hunting Horn G. Veldian Tormentum I Heavy Bowgun G. Veldian Trudis I Insect Glaive Glutton's Charm II Level 2 Hunter's Bow III Bow Hunter's Rifle III Light Bowgun Xu Wu Helm Head","","","","Rarity 4","99","600 z","6,000 z"
"","Quality Bone","A bone used as crafting material. Its ease of use and hardness…","","","","Annihilating Anguish Optional Quests As Gatekeeper Optional Quests Astonishing Adaptability Optional Quests Blangonga Excursion Optional Quests Continuing Conflict Optional Quests Doshaguma Hunt Optional Quests Fur Damagings Are Dislikeworthy Optional Quests Opposition Optional Quests What We Protect Optional Quests","Arkmaiden Kinsects Bone Coil α Waist Bone Greaves α Legs Bone Helm α Head Bone Mail α Chest Bone Vambraces α Arms Bonnetfille Kinsects Bullshroud Kinsects Carnage Beetle Kinsects Chatacabra Mail α Chest Chatacabra Mail β Chest Commission Greaves α Legs Death Stench Brain α Head Death Stench Grip α Arms Death Stench Muscle α Chest Dober Greaves α Legs Doshaguma Helm α Head Doshaguma Helm β Head Guild Ace Coil α Waist Jawblade I Great Sword Ladypavise Kinsects Light Eater's Charm II Level 2 Poison Charm III Level 3 Quematrice Helm α Head Quematrice Helm β Head Sleep Charm III Level 3 Vespoid Coil α Waist Vespoid Coil β Waist Vespoid Greaves α Legs Vespoid Greaves β Legs Whispervesp Kinsects","","","","Rarity 6","99","750 z","7,500 z"
"","Flame Sac","A monster organ filled with flammable powder. Handle with extreme…","","","","","Albirath Blade I Charge Blade Albirath Bludgeon I Hammer Albirath Bow I Bow Albirath Edge I Sword and Shield Albirath Feroce I Hunting Horn Albirath Flamesplitter I Switch Axe Albirath Rook I Gunlance Albirath Tail I Lance Albirath Wing I Great Sword G. Rathling Gun I Light Bowgun Guardian Rathmaul I Insect Glaive Twin Albiraths I Dual Blades Wyvern Blade ""Ash"" I Long Sword","","","","Rarity 4","99","840 z","8,400 z"
"","Inferno Sac","A monster organ filled with powder that ignites if it so much…","","","","All Hail the Queen Optional Quests Armor Like a Mountain Optional Quests King of the Skies Optional Quests Lured by Abundance Assignments Rath-from-Above, Go! Optional Quests Succulent Scraps Optional Quests","Arkmaiden Kinsects Beak Axe II Switch Axe Bombardier Charm III Level 3 Chicken Decapitator II Great Sword Fiddlebrix Kinsects G. Rathalos Greaves α Legs G. Rathalos Greaves β Legs Kut-Ku Anger II Light Bowgun Kut-Ku Coil α Waist Kut-Ku Coil β Waist Kut-Ku Pair II Dual Blades Kut-Ku Pick II Hammer Kut-Ku Pike II Insect Glaive Kut-Ku Stave II Bow Kut-Ku's Song II Hunting Horn Quematrice Arco IV Bow Quematrice Cuchillo IV Sword and Shield Quematrice Culebrina IV Gunlance Quematrice Espada IV Great Sword Quematrice Lanza IV Lance Quematrice Lima IV Long Sword Quematrice Silexes IV Dual Blades Rathalos Vambraces α Arms Rathalos Vambraces β Arms Udra Mirecoil α Waist Udra Mirecoil β Waist Yian Kut-Ku Cannon II Heavy Bowgun","","","","Rarity 6","99","1,455 z","14,550 z"
"","Aqua Sac","A monster organ designed to hold and preserve water.","","","","","Balahara Blade I Sword and Shield Balahara Exploder I Gunlance Balahara Glaive I Insect Glaive Balahara Hammer I Hammer Balahara Horn I Hunting Horn Balahara Lance I Lance Balahara Vambraces Arms Guild Knight Sabers I Dual Blades","","","","Rarity 4","99","480 z","4,800 z"
"","Torrent Sac","A monster organ designed to hold and preserve copious amounts…","","","","A Leviathan's Temper Optional Quests One Thick Veil! Optional Quests The Desert Knows Not the Sea Optional Quests Tide Overtaking Timber Assignments","Balahara Blade III Sword and Shield Balahara Coil α Waist Balahara Coil β Waist Balahara Exploder III Gunlance Balahara Glaive III Insect Glaive Balahara Hammer III Hammer Balahara Horn III Hunting Horn Balahara Lance III Lance Duna Wildmail α Chest Duna Wildmail β Chest Guild Knight Sabers II Dual Blades Uth Dalgap II Heavy Bowgun Uth Falarmata II Gunlance Uth Khlunda II Long Sword Uth Khviluk II Bow Uth Ngarpatu II Dual Blades Uth Olacha II Switch Axe Uth Valeroje II Charge Blade Xu Wu Greaves α Legs Xu Wu Greaves β Legs","","","","Rarity 6","99","1,530 z","15,300 z"
"","Thunder Sac","A monster organ that can store up large amounts of high voltage…","","","","Guardian Fulgur Anjanath Hunt Optional Quests Thundering Flowers Assignments","Blinding Fulgur I Bow Crashing Fulgur I Hammer Deafening Fulgur I Hunting Horn Felling Fulgur I Light Bowgun G. Fulgur Helm α Head G. Fulgur Helm β Head Gnashing Fulgur I Long Sword Grounding Fulgur I Heavy Bowgun Morphing Fulgur I Switch Axe Rending Fulgur I Sword and Shield Rising Fulgur I Insect Glaive Smiting Fulgur I Great Sword Warring Fulgur I Gunlance Whirling Fulgur I Dual Blades","","","","Rarity 6","99","2,400 z","24,000 z"
"","Frost Sac","A monster organ filled with extremely cold fluid. Handle with…","","","","","Frozen Speartuna I Great Sword Hirabami Headdress Head Windbrace Bow I Bow Windclaw Blade I Long Sword Windpierce Lance I Lance Windshear Light I Light Bowgun Windsunder Axe I Switch Axe Windthrash Charger I Charge Blade","","","","Rarity 4","99","660 z","6,600 z"
"","Freezer Sac","A monster organ with tremendous chilling power. Flash-freezes…","","","","Fleeting Victory Optional Quests Frozen Lord on the Precipice Assignments Secure Wounded Hollow Optional Quests When Frost Falls Optional Quests","Blango Coil α Waist Blango Coil β Waist Dahaad Shardcoil α Waist Dahaad Shardcoil β Waist Escape Charm III Level 3 Frozen Speartuna II Great Sword Hirabami Mail α Chest Hirabami Mail β Chest Windbrace Bow II Bow Windclaw Blade II Long Sword Windpierce Lance II Lance Windshear Light II Light Bowgun Windsunder Axe II Switch Axe Windthrash Charger II Charge Blade","","","","Rarity 6","99","1,710 z","17,100 z"
"","Poison Sac","A monster organ filled with a lethal toxin. Handle with extreme…","","","","","Rompo Hacker I Long Sword Rompo Piercer I Lance Rompo Shielder I Charge Blade Rompo Sniper I Heavy Bowgun Rompo Wrecker I Hammer Rompopolo Vambraces Arms","","","","Rarity 4","99","540 z","5,400 z"
"","Toxin Sac","A monster organ filled with an extremely potent toxin. Even one…","","","","Mysterious Poison Optional Quests Profusion of Poison Optional Quests","Carnage Beetle Kinsects Dual Battleaxes II Dual Blades Gypceros Greaves α Legs Gypceros Greaves β Legs Hard Hitter II Gunlance Monarch Alucanid Kinsects Poison Blade II Charge Blade Poisoned Capri II Hunting Horn Rathian Vambraces α Arms Rathian Vambraces β Arms Rompo Hacker II Long Sword Rompo Piercer II Lance Rompo Shielder II Charge Blade Rompo Sniper II Heavy Bowgun Rompo Wrecker II Hammer Rompopolo Greaves α Legs Rompopolo Greaves β Legs Slaughter II Great Sword Tankmage II Heavy Bowgun Venom Monster II Hammer Venom's Pain II Sword and Shield","","","","Rarity 6","99","1,485 z","14,850 z"
"","Lala Barina Mucus","Body fluid from a Lala Barina. A sticky, red liquid that causes…","","","","","Barina Bouclier I Charge Blade Barina Coil Waist Barina Dague I Sword and Shield Barina Faucilles I Dual Blades Barina Flamberge I Long Sword Barina Greaves Legs Barina Hache I Switch Axe Barina Headgear Head Barina Perche I Insect Glaive Barina Sarissa I Lance Blessing Charm I Level 1 Dragon Charm I Level 1 Jail Hammer I Hammer Paralysis Charm I Level 1 Paretic Blade I Great Sword Paretic Gunlance I Gunlance Recovery Charm I Level 1 Sonic Horn I Hunting Horn","","","","Rarity 4","99","450 z","4,500 z"
"","Lala Barina Mucus+","Thick body fluid from a Lala Barina. As red as fresh blood, it…","","","","","Barina Bouclier III Charge Blade Barina Coil α Waist Barina Coil β Waist Barina Dague III Sword and Shield Barina Faucilles III Dual Blades Barina Flamberge III Long Sword Barina Greaves α Legs Barina Greaves β Legs Barina Hache III Switch Axe Barina Mail α Chest Barina Mail β Chest Barina Perche III Insect Glaive Barina Sarissa III Lance Extension Charm III Level 3 Jail Hammer III Hammer Paretic Blade III Great Sword Paretic Gunlance III Gunlance Recovery Charm III Level 3 Sonic Horn IV Hunting Horn","","","","Rarity 6","99","1,350 z","13,500 z"
"","Sleep Sac","A monster organ filled with a knockout powder capable of inducing…","","","","","Arachnoscale I Charge Blade Blood Cry I Long Sword Cluster Hammer I Hammer Immane Blade I Great Sword Ner Bustergun I Heavy Bowgun Nerscylla Helm Head Scaly Sword I Sword and Shield Scylla Fist I Bow Shell Gunberd I Gunlance Stealth Glaive I Insect Glaive","","","","Rarity 4","99","600 z","6,000 z"
"","Coma Sac","A monster organ filled with a dangerous powder. One whiff can…","","","","Armor Like a Mountain Optional Quests Investigating the Frenzied Shadow Assignments Succulent Scraps Optional Quests The Nerscylla's Hunting Grounds Optional Quests","Arachnoscale II Charge Blade Blood Cry II Long Sword Cluster Hammer II Hammer Gravios Greaves α Legs Gravios Greaves β Legs Immane Blade II Great Sword Ner Bustergun II Heavy Bowgun Nerscylla Greaves α Legs Nerscylla Greaves β Legs Scaly Sword II Sword and Shield Scylla Fist II Bow Shell Gunberd II Gunlance Stealth Glaive II Insect Glaive","","","","Rarity 6","99","1,650 z","16,500 z"
"","Guardian Blood","Guardian blood containing an unknown substance. A valuable research…","","","","An Ominous Encounter Assignments Guardian Zoh Shia Assignments His Eternal Reign Optional Quests Pallid Beast's Lament Optional Quests Red Eyes in the Night Optional Quests Repel the Guardian Arkveld Assignments The Ashen King Assignments The Pale Dream of a Lone Shadow Assignments Watcher of the Ancient Capital Assignments","Chainblade Charm I Level 1 Duna Helm Head F Guardian Ark Sword Weapons G. Arkveld Coil Waist G. Arkveld Greaves Legs G. Arkveld Helm Head G. Arkveld Mail Chest G. Arkveld Vambraces Arms G. Doshaguma Coil Waist G. Veldian Arcum I Bow G. Veldian Ensis I Long Sword G. Veldian Gladius I Great Sword G. Veldian Harpes I Dual Blades G. Veldian Hasta I Gunlance G. Veldian Impetum I Light Bowgun G. Veldian Labrys I Charge Blade G. Veldian Lancea I Lance G. Veldian Malleus I Hammer G. Veldian Mucro I Sword and Shield G. Veldian Securis I Switch Axe G. Veldian Sibilus I Hunting Horn G. Veldian Tormentum I Heavy Bowgun G. Veldian Trudis I Insect Glaive Rey Sandgreaves Legs Udra Miremail Chest","","","","Rarity 4","99","1,100 z","11,000 z"
"","Guardian Blood+","Guardian blood with rather peculiar properties. Requires further…","","","","Battle with the White Doshaguma! Optional Quests Guardian Fulgur Anjanath Hunt Optional Quests Purrfect Plundering Optional Quests The King's Triumphant Return Optional Quests Thundering Flowers Assignments Werner's Test Run Optional Quests White Wails Optional Quests","A Albirath Blade II Charge Blade Albirath Bludgeon II Hammer Albirath Bow II Bow Albirath Edge II Sword and Shield Albirath Feroce II Hunting Horn Albirath Flamesplitter II Switch Axe Albirath Rook II Gunlance Albirath Tail II Lance Albirath Wing II Great Sword Artian Greaves α Legs C Chthonian Firewheel II Lance Chthonian Flame II Charge Blade Chthonian Gunfire II Light Bowgun Chthonian Kusarigamas II Dual Blades Chthonian Vajra II Insect Glaive D Damascus Mail α Chest Dosha Gigasbreaker II Light Bowgun Dosha Gloomborer II Lance Dosha Gorehacker II Switch Axe Dosha Gravecleaver II Long Sword Dosha Griefbringer II Bow Dosha Grimslayer II Great Sword Dosha Grudgesounder II Hunting Horn Dosha Guardflayers II Dual Blades Dragonking Eyepatch α Head F F Guardian Ark Sword α Weapons G G. Arkveld Mail α Chest G. Arkveld Mail β Chest G. Doshaguma Helm α Head G. Doshaguma Helm β Head G. Fulgur Greaves α Legs G. Fulgur Greaves β Legs G. Rathling Gun II Light Bowgun G. Veldian Arcum II Bow G. Veldian Ensis II Long Sword G. Veldian Gladius II Great Sword G. Veldian Harpes II Dual Blades G. Veldian Hasta II Gunlance G. Veldian Impetum II Light Bowgun G. Veldian Labrys II Charge Blade G. Veldian Lancea II Lance G. Veldian Malleus II Hammer G. Veldian Mucro II Sword and Shield G. Veldian Securis II Switch Axe G. Veldian Sibilus II Hunting Horn G. Veldian Tormentum II Heavy Bowgun G. Veldian Trudis II Insect Glaive Guardian Rathmaul II Insect Glaive Guild Ace Boots α Legs Guild Knight Sabers II Dual Blades T Twin Albiraths II Dual Blades W Wyvern Blade ""Ash"" II Long Sword","","","","Rarity 6","99","3,300 z","33,000 z"
"","Great Hibiscus","A large, brightly colored flower found in the Ruins of Wyveria.…","","","","","Melahoa Branch α Arms Melahoa Folia α Waist Melahoa Hat α Head Melahoa Jacket α Chest Melahoa Roots α Legs","Melahoa Branch α Arms Melahoa Folia α Waist Melahoa Hat α Head Melahoa Jacket α Chest Melahoa Roots α Legs","","","Rarity 6","99","200 z","2,000 z"
"","Dalthydon Wool","A product of Kunafa. Perfectly suited for desert life. Try bringing…","","","","","Felyne Kunafa Hood α Head Felyne Kunafa Suit α Body Kunafa Chaps α Legs Kunafa Cloak α Chest Kunafa Headgear α Head Kunafa Sash α Waist","Felyne Kunafa Hood α Head Felyne Kunafa Suit α Body Kunafa Chaps α Legs Kunafa Cloak α Chest Kunafa Headgear α Head Kunafa Sash α Waist","","","Rarity 6","99","350 z","3,500 z"
"","Azuz Tanned Leather","A product of Azuz. The leather is repeatedly repaired for extended…","","","","","Azuz Apron α Chest Azuz Headdress α Head Azuz Pants α Legs Felyne Azuz Body α Body Felyne Azuz Head α Head","Azuz Apron α Chest Azuz Headdress α Head Azuz Pants α Legs Felyne Azuz Body α Body Felyne Azuz Head α Head","","","Rarity 6","99","350 z","3,500 z"
"","Suja Textiles","A product of Suja. Its unique pattern has roots in Wyverian tradition.…","","","","","Felyne Suja Frog α Head Felyne Suja Vest α Body Suja Sash α Waist","Felyne Suja Frog α Head Felyne Suja Vest α Body Suja Sash α Waist","","","Rarity 6","99","350 z","3,500 z"
"","Sild Cotton","A product of Sild. A high-quality material that can be used as-is.…","","","","","Felyne Sild Hood α Head Felyne Sild Suit α Body Sild Coat α Chest Sild Hood α Head","Felyne Sild Hood α Head Felyne Sild Suit α Body Sild Coat α Chest Sild Hood α Head","","","Rarity 6","99","350 z","3,500 z"
,,,,,,,,,,,,,,
"","Gajau Hide","The hide of a Gajau. Covered in a thick slime that grants water…","","","","","Gajau Boots Legs Gajau Boots α Legs","Gajau Boots Legs","","","Rarity 4","99","200 z","2,000 z"
"","Speartuna Fin","The sharp fin of a Speartuna. Might be useful for something if…","","","","","Freezer Speartuna Great Sword Frozen Speartuna I Great Sword Frozen Speartuna II Great Sword","","","","Rarity 4","99","200 z","2,000 z"
"","Commission Ticket","A ticket in the image of a hunter who traveled to the New World.…","","","","","Babel Spear Lance Commission Coil α Waist Commission Greaves α Legs Commission Helm α Head Commission Mail α Chest Commission Vambraces α Arms Giant Jawblade Great Sword Jawblade I Great Sword Paladin Lance I Lance","Commission Coil α Waist Commission Greaves α Legs Commission Helm α Head Commission Mail α Chest Commission Vambraces α Arms Jawblade I Great Sword Paladin Lance I Lance","","","Rarity 6","99","350 z","3,500 z"
"","Armor Sphere","Reacts uniquely to heat. Fuse this to armor to improve it by…","","","","A Feast in the Deep Assignments A Fuse Ignited Assignments A Merciless Glare Assignments Ajarakan Ablaze Assignments Buggin' in the Cliffs Optional Quests Dance of Shadows Optional Quests Fight or Flight Assignments Fleet Flight Optional Quests March of the Kranodath Optional Quests Oilwell Basin Blast Optional Quests Scorching Simian Optional Quests Sultan of the Sand Optional Quests The Quiet, Cunning Assassin Assignments Veiled by the Tide Optional Quests","","","","","Rarity 4","99","80 z","800 z"
"","Armor Sphere+","Reacts uniquely to heat. Fuse this to armor to improve it by…","","","","A Hunter in the Void Assignments A Sharp Squad Optional Quests A Vow to Remain Optional Quests An Ominous Encounter Assignments Consumer of Void Optional Quests Creeping Flames Optional Quests Dream Eaters Optional Quests Guardian Zoh Shia Assignments His Eternal Reign Optional Quests Pallid Beast's Lament Optional Quests Red Eyes in the Night Optional Quests Repel the Guardian Arkveld Assignments Small White Feathers Optional Quests Spread Those Wings Optional Quests Talk About Hard Headed! Optional Quests The Ashen King Assignments The Black Flame Quietly Manifests Assignments The Pale Dream of a Lone Shadow Assignments The Rimechain Trial Assignments Time to Exorcise Optional Quests Vespoid Capriccio Optional Quests Watcher of the Ancient Capital Assignments","","","","","Rarity 5","99","200 z","2,000 z"
"","Advanced Armor Sphere","Reacts uniquely to heat. Fuse this to armor to improve it.","","","","A Futile Fight Optional Quests A Leviathan's Temper Optional Quests Aberrant Atrocity Optional Quests All Hail the Queen Optional Quests Annihilating Anguish Optional Quests Armor Like a Mountain Optional Quests As Gatekeeper Optional Quests Astonishing Adaptability Optional Quests Battle with the White Doshaguma! Optional Quests Blangonga Excursion Optional Quests Continuing Conflict Optional Quests Doshaguma Hunt Optional Quests Fleeting Victory Optional Quests Flippant Flatulence Optional Quests Flower of Eternal Rest Optional Quests Fur Damagings Are Dislikeworthy Optional Quests Guardian Fulgur Anjanath Hunt Optional Quests Investigating the Frenzied Shadow Assignments King of the Skies Optional Quests Lured by Abundance Assignments Mysterious Poison Optional Quests Opposition Optional Quests Profusion of Poison Optional Quests Purrfect Plundering Optional Quests Rath-from-Above, Go! Optional Quests Secure Wounded Hollow Optional Quests Smithy's Seal of Quality Optional Quests Succulent Scraps Optional Quests The Desert Knows Not the Sea Optional Quests The King's Triumphant Return Optional Quests The Nerscylla's Hunting Grounds Optional Quests The Pursued and the Pursuer Optional Quests Thundering Flowers Assignments Werner's Test Run Optional Quests What We Protect Optional Quests White Wails Optional Quests","","","","","Rarity 6","99","300 z","3,000 z"
"","Hard Armor Sphere","A rigid, high-density armor sphere. Fuse this to armor to improve…","","","","Awaking From a Dream Assignments Echoing from the Cliffs Optional Quests Frozen Lord on the Precipice Assignments Misty Depths Optional Quests One Thick Veil! Optional Quests Roaring Rey Dau Assignments Scorching the Earth Once More Assignments Shrouded in Black Assignments Sinister Sneer Optional Quests The Chains of Life Optional Quests The Struggle to Survive Optional Quests Tide Overtaking Timber Assignments Troublemakers Optional Quests When Frost Falls Optional Quests When the Dust Settles... Optional Quests","","","","","Rarity 7","99","400 z","4,000 z"
"","Heavy Armor Sphere","A solid, high-density armor sphere. Fuse this to armor to improve…","","","","","","","","","Rarity 8","99","600 z","6,000 z"
"","Monster Keenbone","Bone obtained from high-rank large monsters. It has a razor sharp…","","","","A Leviathan's Temper Optional Quests All Hail the Queen Optional Quests Armor Like a Mountain Optional Quests Fleeting Victory Optional Quests King of the Skies Optional Quests Lured by Abundance Assignments Mysterious Poison Optional Quests Profusion of Poison Optional Quests Rath-from-Above, Go! Optional Quests Secure Wounded Hollow Optional Quests Succulent Scraps Optional Quests The Desert Knows Not the Sea Optional Quests The Pursued and the Pursuer Optional Quests","Balahara Mail α Chest Balahara Mail β Chest Bullshroud Kinsects Buster Sword III Great Sword Chain Blitz III Light Bowgun Chrome Drill III Lance Commission Vambraces α Arms Dober Coil α Waist Dragon Perforator III Bow Dual Hatchets III Dual Blades Expedition Headgear α Head Grancathar Kinsects Gravios Helm α Head Gravios Helm β Head Gypceros Vambraces α Arms Gypceros Vambraces β Arms Hirabami Coil α Waist Hirabami Coil β Waist Hyperguard III Charge Blade Iron Accelerator III Switch Axe Iron Assault III Heavy Bowgun Iron Beater III Sword and Shield Iron Gale III Insect Glaive Iron Hammer III Hammer Iron Katana III Long Sword Jawblade I Great Sword Kut-Ku Helm α Head Kut-Ku Helm β Head Metal Bagpipe III Hunting Horn Quematrice Greaves α Legs Quematrice Greaves β Legs Rathalos Helm α Head Rathalos Helm β Head Rathian Helm α Head Rathian Helm β Head Rompopolo Mail α Chest Rompopolo Mail β Chest Triple Bayonet III Gunlance","","","","Rarity 6","99","800 z","8,000 z"
